,dbuz_head_rep1,dbuz_head_rep2,dbuz_head_rep3,dkoep_head_rep1,dkoep_head_rep2,dkoep_head_rep3
LOC6577848,5784,4718,5510,3119,3335,3952
LOC6577851,0,1,2,1,0,3
LOC6577852,513,413,491,587,765,732
LOC6577853,3443,2588,3409,2883,3756,3807
LOC6577854,2065,1754,2064,1613,1978,1944
LOC6577855,628,588,694,889,1166,1184
LOC6577856,1770,1303,1639,1444,1875,2140
LOC6577857,195,164,226,245,360,315
LOC6577858,151,138,158,75,103,107
LOC6577859,19390,15769,18916,12055,14739,15410
LOC6577868,2680,2226,2748,1969,2668,2583
LOC6577870,4306,3576,4220,2003,2664,2624
LOC6577872,7985,6282,7847,4511,5659,6143
LOC6577873,3008,2610,2948,1861,2176,2222
LOC6577874,441,368,466,565,657,730
LOC6577875,1444,1270,1516,1261,1756,1882
LOC6577876,2451,1927,2249,1883,2263,2492
LOC6577877,9709,7994,9963,6410,8359,8333
LOC6577878,961,851,1011,409,553,527
LOC6577879,661,532,649,539,659,813
LOC6577880,683,524,654,586,694,750
LOC6577884,2801,2310,2786,1721,2093,2005
LOC6577885,1573,1218,1508,1160,1421,1430
LOC6577887,6475,4779,5758,6824,8122,8857
LOC6577888,4290,3828,4649,2891,3491,3141
LOC6577889,372,323,301,315,325,408
LOC6577890,105,98,145,212,284,306
LOC6577891,185,168,213,188,195,228
LOC6577892,127,115,146,64,87,80
LOC6577893,2702,2277,2789,1349,1689,1667
LOC6577894,11629,9095,10690,8563,10650,11680
LOC6577895,99,56,67,288,370,417
LOC6577898,255,196,216,624,759,923
LOC6577899,1183,819,962,296,265,535
LOC6577904,194,150,131,80,106,113
LOC6577905,0,0,0,0,1,0
LOC6577907,51,48,50,46,51,65
LOC6577910,633,495,633,184,248,309
LOC6577911,103,109,103,149,138,183
LOC6577913,1556,1262,1469,2127,2528,2449
LOC6577914,1136,1031,1163,817,1139,1117
LOC6577919,0,0,3,5,2,2
LOC6577920,0,0,0,0,0,1
LOC6577922,1707,1377,1695,897,1144,1212
LOC6577923,32,28,40,10,5,23
LOC6577925,1001,843,1080,828,1203,1348
LOC6577926,1449,1185,1398,1338,1750,1828
LOC6577927,1017,748,985,982,1309,1352
LOC6577929,2470,1939,2306,1560,1965,2073
LOC6577930,63,62,52,42,67,65
LOC6577931,739,576,680,669,929,1075
LOC6577933,288,228,287,145,154,197
LOC6577936,334,332,368,297,321,404
LOC6577937,13,12,10,2,2,8
LOC6577938,0,0,0,0,0,0
LOC6577939,210,157,228,361,510,552
LOC6577941,858,700,920,940,1205,1358
LOC6577942,361,271,373,264,344,426
LOC6577943,975,785,985,595,755,794
LOC6577948,9148,7754,9240,3332,4486,4390
LOC6577950,12800,10692,12624,9555,12033,16961
LOC6577952,233,205,230,427,516,561
LOC6577953,4696,3584,4166,3653,3821,5273
LOC6577954,978,812,1009,619,784,865
LOC6577955,204,151,226,231,293,327
LOC6577956,1269,1066,1286,859,1015,1156
LOC6577957,507,353,496,428,683,590
LOC6577958,72,80,75,18,24,19
LOC6577959,2877,2384,2898,2579,3269,3246
LOC6577960,11439,8323,9799,9519,9436,14392
LOC6577961,456,402,380,735,966,1004
LOC6577962,1008,771,1096,455,607,635
LOC6577964,1990,1659,1964,1073,1472,1468
LOC6577966,63765,49154,60199,59285,70882,84733
LOC6577968,1043,839,984,888,1144,1122
LOC6577969,626,514,672,328,456,465
LOC6577970,2481,1940,2420,1041,1345,1464
LOC6577971,594,464,625,529,666,754
LOC6577972,2389,1983,2316,1716,2313,2357
LOC6577974,7210,5986,7458,10797,14654,14991
LOC6577976,61,72,69,81,110,118
LOC6577977,346,307,354,256,312,364
LOC6577978,895,758,1054,827,976,1261
LOC6577979,745,620,769,870,1277,1288
LOC6577980,396,284,436,422,530,675
LOC6577981,563,400,568,533,744,750
LOC6577982,205,186,222,629,874,892
LOC6577983,1382,1101,1359,929,1251,1381
LOC6577984,3619,3130,3865,3111,4354,4578
LOC6577985,950,711,958,639,1025,1150
LOC6577986,3126,2498,3156,2470,3099,3312
LOC6577987,2783,2271,2690,2562,3248,3491
LOC6577988,1271,1069,1297,1366,1957,1924
LOC6577989,3030,2580,3418,2786,3972,4166
LOC6577990,270,229,303,275,368,400
LOC6577991,1119,860,1100,795,917,1133
LOC6577992,1969,1600,2039,1503,1870,1970
LOC6577993,1850,1444,1872,1142,1555,1720
LOC6577994,711,556,675,719,901,943
LOC6577996,2632,2043,2554,2509,3087,3358
LOC6577997,2416,2015,2602,2020,3008,2964
LOC6577998,11,7,4,1,5,1
LOC6578001,2484,1850,2434,907,1260,1212
LOC6578003,2229,1675,2051,2132,2919,3367
LOC6578004,415,341,481,417,552,591
LOC6578005,72,64,78,85,90,125
LOC6578006,12420,9456,11110,11530,14848,17773
LOC6578007,30,24,34,69,121,115
LOC6578008,850,676,877,180,174,246
LOC6578009,0,0,0,1,3,2
LOC6578010,316,256,277,213,290,258
LOC6578017,13413,9807,10893,11873,11523,21278
LOC6578020,3203,2774,3374,1296,1614,1918
LOC6578021,0,1,0,1,0,1
LOC6578024,0,0,0,3,6,11
LOC6578026,2,0,0,0,0,0
LOC6578027,0,0,0,16,16,25
LOC6578030,0,0,0,0,0,0
LOC6578033,2369,1790,2136,1711,2067,2164
LOC6578034,1,0,0,9,10,10
LOC6578035,0,0,0,0,0,0
LOC6578037,9652,7617,8365,9175,9446,13009
LOC6578038,541,424,539,346,405,429
LOC6578039,336,280,355,411,528,585
LOC6578040,2593,2169,2591,2712,3460,3152
LOC6578042,689,594,796,599,959,924
LOC6578043,429,342,380,328,444,489
LOC6578044,6592,5117,6276,1492,1818,1860
LOC6578045,0,0,0,0,0,0
LOC6578046,0,0,0,2,0,1
LOC6578048,455,404,513,254,300,321
LOC6578051,1186,884,1117,617,770,791
LOC6578052,277,248,309,229,340,319
LOC6578053,410,321,392,435,565,668
LOC6578054,932,762,908,584,711,841
LOC6578055,501,438,495,816,1107,1113
LOC6578056,4,3,9,0,1,2
LOC6578057,37,24,28,5,12,22
LOC6578058,0,0,0,2,0,2
LOC6578059,1,1,0,139,175,224
LOC6578061,10,15,21,43,46,45
LOC6578063,4817,4019,4797,4276,5201,5630
LOC6578064,512,399,489,937,1189,1362
LOC6578066,723,526,648,375,477,547
LOC6578067,3424,2621,3538,2236,3153,2809
LOC6578072,13829,11701,14291,8663,10313,11095
LOC6578075,584,502,665,561,648,833
LOC6578076,11544,8408,10427,11123,10738,16146
LOC6578077,6540,5047,5674,4270,5758,5724
LOC6578079,1,1,0,1,3,4
LOC6578083,2,3,0,1,2,1
LOC6578084,2,1,4,0,1,3
LOC6578088,6625,5403,6862,2674,3440,3426
LOC6578091,1805,1334,1650,676,915,978
LOC6578093,7,7,5,1,7,3
LOC6578095,215,147,186,219,238,260
LOC6578097,0,1,1,0,0,0
LOC6578098,586,437,502,443,569,572
LOC6578099,3,1,2,3,9,11
LOC6578100,35672,29095,35234,26891,31772,42398
LOC6578101,1391,1105,1270,1837,2370,2340
LOC6578102,857,684,817,510,615,700
LOC6578103,4091,3394,4258,2291,2927,2950
LOC6578104,6987,6324,8370,3682,5881,5801
LOC6578105,954,788,923,553,748,745
LOC6578106,433,333,420,331,356,466
LOC6578107,5225,4665,5854,4525,6436,6348
LOC6578108,578,496,610,106,136,139
LOC6578110,1337,1109,1278,1026,1277,1371
LOC6578111,1136,862,1055,587,671,794
LOC6578112,879,626,810,753,869,1075
LOC6578113,3227,2630,3319,1948,2494,2452
LOC6578114,827,687,819,511,569,626
LOC6578115,1178,950,1147,897,1119,1273
LOC6578116,3631,2945,3699,3637,5049,5280
LOC6578118,1264,997,1276,1148,1467,1683
LOC6578119,898,791,1024,1282,1856,1776
LOC6578121,357,275,361,481,605,639
LOC6578122,5594,4185,5148,4967,5778,6319
LOC6578125,4106,3171,3854,558,750,784
LOC6578126,4935,4159,5361,925,1304,1332
LOC6578127,4938,4050,4723,2851,3658,3571
LOC6578128,39,42,53,140,134,141
LOC6578129,534,368,441,397,471,515
LOC6578130,2273,1794,2173,3218,3884,4577
LOC6578131,1117,975,1241,1645,2070,2215
LOC6578134,514,466,558,290,376,574
LOC6578140,1987,1566,1905,2479,3190,3353
LOC6578141,6,10,15,25,35,28
LOC6578142,6164,4956,6141,4812,6135,6208
LOC6578144,3,2,5,0,1,2
LOC6578148,2980,2357,3083,3537,4672,4637
LOC6578149,1976,1589,1802,2207,3106,3408
LOC6578150,2975,2387,2796,2390,2915,3001
LOC6578151,936,778,978,1012,1318,1433
LOC6578152,92,65,95,110,154,181
LOC6578153,364,316,387,516,652,629
LOC6578154,1,0,0,19,15,19
LOC6578157,6550,4966,6545,4864,6518,6413
LOC6578158,2998,2365,3009,1717,2346,2464
LOC6578159,1533,1254,1549,862,1308,1310
LOC6578160,3009,2289,2957,2503,3166,3438
LOC6578162,1103,841,1045,866,1165,1380
LOC6578165,2941,2270,2849,3092,4112,4338
LOC6578166,1645,1373,1656,1402,1844,2173
LOC6578167,60,44,84,810,1140,1120
LOC6578171,5611,4442,5492,5798,7988,8464
LOC6578174,13271,10658,13424,13269,17974,18017
LOC6578175,38897,30839,39030,34105,42663,51527
LOC6578176,1231,1007,1299,1488,2068,2106
LOC6578177,742,607,852,830,1221,1229
LOC6578182,4354,3802,5084,5652,8216,7473
LOC6578188,3915,3107,4006,2690,3730,4056
LOC6578192,424,278,386,549,744,778
LOC6578199,4010,3207,4126,3810,5220,5407
LOC6578200,316,304,326,759,1019,1064
LOC6578208,7378,6097,7941,7402,9793,9797
LOC6578221,327,289,287,1407,2018,2135
LOC6578222,995,920,1133,845,1165,1424
LOC6578227,3153,2653,3253,2401,3531,3563
LOC6578229,3644,2760,3420,5355,6378,8275
LOC6578239,39,22,39,32,51,59
LOC6578240,355,298,409,427,587,538
LOC6578241,0,2,4,1,4,3
LOC6578242,1,0,0,0,0,0
LOC6578245,3035,2187,2607,2127,2399,2971
LOC6578246,424,358,349,652,753,886
LOC6578247,217,161,206,196,250,276
LOC6578248,522,416,536,475,581,651
LOC6578249,3148,2540,3150,3592,4383,4478
LOC6578250,676,575,723,641,815,872
LOC6578251,115,80,108,283,385,394
LOC6578252,726,605,770,527,699,750
LOC6578253,2992,2438,2945,3199,4395,4503
LOC6578254,18680,15362,18954,17228,22500,23805
LOC6578256,450,338,441,318,463,464
LOC6578257,1016,897,1158,658,1102,999
LOC6578258,192,178,201,247,351,368
LOC6578259,393,266,314,802,1122,1255
LOC6578260,2899,2366,2800,3281,4304,4445
LOC6578261,222,176,247,413,536,588
LOC6578262,3163,2444,2919,2418,2903,2958
LOC6578263,5043,4161,5214,3742,4913,4688
LOC6578264,8,6,1,21,20,17
LOC6578265,900,746,844,960,1142,1355
LOC6578266,1257,1068,1283,664,765,1096
LOC6578267,275,245,239,134,141,215
LOC6578268,5020,4111,4957,3734,4985,4802
LOC6578269,1515,1339,1627,774,1003,1075
LOC6578270,12646,10577,12448,6947,8512,9473
LOC6578271,114,100,105,130,134,195
LOC6578272,345,327,316,181,258,280
LOC6578273,16,11,26,32,45,57
LOC6578274,919,921,1133,729,1076,908
LOC6578277,1184,994,1256,462,529,625
LOC6578279,0,0,0,0,1,0
LOC6578280,3926,3249,3765,3874,4862,5423
LOC6578281,173,167,163,354,443,474
LOC6578282,2444,1910,2483,2483,3008,3458
LOC6578284,473,324,394,351,426,482
LOC6578285,156,145,156,57,78,69
LOC6578286,724,580,748,479,501,642
LOC6578287,4659,3657,4557,3638,4644,4877
LOC6578288,365,315,344,345,371,474
LOC6578289,32,24,34,158,186,232
LOC6578290,397,299,376,613,827,948
LOC6578291,1226,944,1120,1325,1619,1812
LOC6578293,1094,907,992,802,880,989
LOC6578294,2211,1724,1939,2349,2829,3200
LOC6578295,45,40,35,96,85,126
LOC6578296,982,823,953,1072,1509,1708
LOC6578297,1186,969,1255,1183,1503,1801
LOC6578298,26,29,15,20,27,18
LOC6578301,583,525,642,481,571,659
LOC6578302,220,167,186,147,180,193
LOC6578303,494,458,496,357,436,453
LOC6578304,9751,7666,9285,9703,12248,13382
LOC6578305,1794,1482,1763,1870,2482,2843
LOC6578306,289,253,332,230,321,404
LOC6578307,600,457,586,617,715,669
LOC6578309,449,360,398,452,604,596
LOC6578310,4048,3530,4030,3402,4502,4523
LOC6578311,966,909,1145,718,1088,1085
LOC6578312,5915,5069,6013,6458,8122,8181
LOC6578313,437,392,455,380,530,548
LOC6578314,213,143,179,104,170,149
LOC6578315,1038,832,919,1188,1324,1506
LOC6578316,3,8,2,9,10,14
LOC6578318,164,139,169,196,240,306
LOC6578319,6846,5773,6948,3697,4579,5108
LOC6578320,368,294,393,309,393,359
LOC6578323,2195,1743,1929,2372,2841,3634
LOC6578324,254,179,194,515,582,677
LOC6578325,2408,1984,2456,2870,3701,3494
LOC6578326,2275,1853,2315,3431,4454,4964
LOC6578327,16350,14498,16622,7495,9366,10326
LOC6578328,2953,2194,2378,1802,2021,2271
LOC6578329,33,40,57,102,115,122
LOC6578330,120,121,146,250,259,306
LOC6578331,74,48,65,161,156,185
LOC6578332,803,566,735,469,588,598
LOC6578333,1112,720,877,1145,1394,1688
LOC6578334,309,295,436,294,506,477
LOC6578335,2949,2464,3103,2419,2963,3040
LOC6578336,203,136,195,73,60,107
LOC6578337,565,502,584,535,663,851
LOC6578338,23,28,46,11,13,18
LOC6578339,5,2,6,13,27,29
LOC6578341,0,0,3,0,0,0
LOC6578342,29521,22979,26199,29464,32599,39628
LOC6578343,63,63,72,22,45,52
LOC6578346,75,56,47,35,53,67
LOC6578347,82,48,64,92,107,125
LOC6578348,128,91,123,108,162,167
LOC6578349,59300,62529,85753,43019,53927,69643
LOC6578353,791,603,779,477,567,674
LOC6578354,249,210,247,408,456,522
LOC6578359,0,0,0,0,0,0
LOC6578367,1328,991,1291,1112,1572,1392
LOC6578371,0,1,1,8,9,9
LOC6578373,616,552,683,684,934,1001
LOC6578374,75,55,76,32,37,33
LOC6578375,3076,2431,2966,2710,3350,3598
LOC6578376,84,69,112,152,193,220
LOC6578378,13,10,6,70,81,130
LOC6578379,5408,4471,5546,825,1099,1248
LOC6578381,695,520,595,615,758,720
LOC6578382,208,209,274,188,245,245
LOC6578383,359,263,299,237,269,325
LOC6578384,965,772,871,1054,1282,1510
LOC6578385,1959,1613,2047,3305,4695,5065
LOC6578386,579,490,585,545,654,706
LOC6578387,14,21,15,11,25,15
LOC6578388,328,241,293,545,677,801
LOC6578389,809,644,731,472,581,557
LOC6578391,1086,864,1062,1090,1383,1453
LOC6578392,2453,1950,2362,1167,1514,1772
LOC6578394,4520,3465,4323,3745,4672,5744
LOC6578396,1991,1479,1689,1383,1778,1827
LOC6578400,118,71,98,62,66,69
LOC6578401,887,712,826,636,780,811
LOC6578402,1347,1028,1269,1524,1877,1932
LOC6578404,575,456,536,1192,1542,1769
LOC6578406,44425,40737,51784,23283,25263,37575
LOC6578407,11434,8912,11293,8587,11021,10002
LOC6578410,1661,1067,1366,1489,1736,1875
LOC6578411,1189,844,1131,2101,2501,3220
LOC6578412,78,73,85,141,174,157
LOC6578413,24,19,24,79,132,118
LOC6578415,137,104,114,82,97,107
LOC6578416,37,36,54,35,29,32
LOC6578417,465,369,491,506,693,648
LOC6578418,754,645,797,926,1268,1341
LOC6578419,396,321,463,516,654,772
LOC6578421,35,18,25,6,10,10
LOC6578422,5175,4284,4917,4133,5329,5456
LOC6578423,21604,16799,20327,8276,10539,11129
LOC6578424,335,235,352,364,469,528
LOC6578425,1156,1027,1261,870,1078,1154
LOC6578427,6993,5697,7095,6645,8616,8797
LOC6578431,3802,3062,3754,2626,3153,3126
LOC6578432,102,74,90,108,149,157
LOC6578436,5109,4280,5272,2515,3088,3291
LOC6578437,1074,767,919,1173,1574,1759
LOC6578439,35,29,23,27,19,14
LOC6578441,1,3,5,13,11,13
LOC6578442,13453,10744,12748,8830,10030,10755
LOC6578444,2284,1897,2445,2414,3490,3602
LOC6578445,464,327,374,407,497,547
LOC6578446,754,567,713,723,922,1036
LOC6578447,253,167,223,264,321,351
LOC6578448,4,2,6,11,20,23
LOC6578449,1092,887,1097,1254,1539,1633
LOC6578450,2671,2310,2555,2339,2762,2915
LOC6578451,3,4,5,1,1,3
LOC6578454,2,1,1,0,1,0
LOC6578455,0,0,0,0,0,0
LOC6578456,0,0,0,1,0,0
LOC6578458,0,1,0,0,0,0
LOC6578464,9,9,8,9,9,12
LOC6578471,0,0,2,0,0,1
LOC6578472,898,708,795,1749,2133,2720
LOC6578473,1196,1065,1210,673,931,1306
LOC6578474,57,26,44,25,25,22
LOC6578477,193,177,197,153,224,203
LOC6578478,918,791,982,829,994,1024
LOC6578479,1989,1566,1952,1797,2271,2726
LOC6578480,2624,2230,2703,2036,2583,2752
LOC6578481,6,4,11,19,24,24
LOC6578482,3235,2429,2838,2119,2149,3283
LOC6578483,9069,8426,10810,12126,13135,18064
LOC6578484,25,23,29,48,42,80
LOC6578485,2116,1737,2177,2266,2806,3590
LOC6578488,4464,3411,4552,4195,5553,6854
LOC6578489,482,411,473,419,476,629
LOC6578490,3582,3059,3479,3389,4176,4605
LOC6578491,26,18,10,40,40,41
LOC6578492,1575,1269,1652,680,846,886
LOC6578494,0,0,0,2,1,2
LOC6578495,1446,1043,1319,1224,1318,1691
LOC6578498,72,91,90,100,147,189
LOC6578499,869,677,807,444,459,540
LOC6578500,733,582,645,813,871,969
LOC6578501,823,602,735,731,887,942
LOC6578502,590,535,651,442,661,722
LOC6578503,408,322,388,319,390,395
LOC6578504,10213,8194,9915,7614,10069,9334
LOC6578505,1129,805,894,1048,1147,1478
LOC6578507,4888,3824,4853,4203,4646,5545
LOC6578508,370,253,356,172,204,281
LOC6578509,1216,975,1292,1065,1354,1472
LOC6578510,9,1,3,6,4,7
LOC6578511,5,0,0,1,1,6
LOC6578513,1317,1163,1323,1044,1376,1539
LOC6578514,1161,912,1168,1216,1683,1764
LOC6578515,0,0,0,8,6,3
LOC6578517,395,386,447,342,458,434
LOC6578518,2437,1956,2462,1749,2420,2317
LOC6578519,396,349,460,11,19,27
LOC6578520,81,80,108,52,87,98
LOC6578521,91,69,77,58,80,69
LOC6578522,200,129,186,84,72,89
LOC6578523,134,95,138,90,101,123
LOC6578525,609,443,560,397,495,514
LOC6578526,2172,1655,1776,846,995,1106
LOC6578527,3431,2935,3569,2457,3297,3025
LOC6578528,1065,750,802,927,1075,1434
LOC6578531,1971,1719,2098,1214,1597,1657
LOC6578532,1471,1172,1438,1115,1500,1523
LOC6578533,683,544,686,922,998,1213
LOC6578534,37,29,34,37,36,46
LOC6578536,1538,1250,1510,1287,1713,1682
LOC6578537,904,784,901,1113,1384,1397
LOC6578538,1434,1211,1413,1293,1550,1698
LOC6578539,154,183,167,218,278,311
LOC6578540,0,1,1,0,1,1
LOC6578541,3203,2476,3020,2688,3268,3512
LOC6578543,2001,1517,1825,913,1028,1155
LOC6578544,1026,965,1013,452,610,602
LOC6578545,869,752,887,749,949,1013
LOC6578546,8076,6823,7953,5785,7259,8091
LOC6578548,1179,883,1122,1002,1303,1370
LOC6578549,799,621,754,740,917,907
LOC6578550,936,775,951,795,1003,1091
LOC6578551,424,343,391,659,749,1026
LOC6578554,89,63,98,366,510,539
LOC6578556,1071,811,1038,777,929,893
LOC6578557,0,0,0,0,0,0
LOC6578558,18,11,10,6,6,9
LOC6578560,26,20,24,31,44,49
LOC6578561,5006,4594,5550,4543,5737,5793
LOC6578562,2417,2088,2501,2475,3214,3353
LOC6578563,771,581,735,1398,1542,1737
LOC6578564,2181,1773,2235,1614,2013,2183
LOC6578565,1609,1321,1612,1082,1326,1340
LOC6578566,1,1,2,4,13,7
LOC6578567,12820,10137,12256,11627,13789,15507
LOC6578569,235079,174253,206109,220293,234192,281430
LOC6578571,282,241,299,199,246,287
LOC6578572,502,433,469,644,750,895
LOC6578573,8,4,14,19,27,10
LOC6578574,63,53,67,62,99,70
LOC6578575,3006,2475,3110,5046,7034,7560
LOC6578576,839,695,819,465,541,585
LOC6578578,1026,776,1011,1078,1497,1482
LOC6578580,46,42,42,90,110,98
LOC6578581,741,645,786,661,835,832
LOC6578582,215,182,251,369,480,539
LOC6578583,487,368,468,931,1130,1263
LOC6578585,1403,1155,1382,1109,1358,1466
LOC6578586,3291,2793,3528,3403,4795,4941
LOC6578587,7314,5500,6340,4287,4706,5499
LOC6578590,1881,1424,1635,759,813,1134
LOC6578592,0,0,1,1,0,0
LOC6578593,313,226,316,287,360,423
LOC6578594,286,216,263,262,322,343
LOC6578597,3645,2963,3737,6213,8132,9088
LOC6578598,904,753,905,1010,1406,1442
LOC6578599,81,61,85,235,339,314
LOC6578600,17254,14395,17424,10358,12590,13043
LOC6578601,320,296,329,421,501,584
LOC6578602,260,270,265,785,903,1061
LOC6578603,1455,1195,1465,1029,1272,1340
LOC6578604,1265,999,1260,973,1272,1319
LOC6578605,4,6,2,0,1,1
LOC6578607,71,75,70,38,54,61
LOC6578608,1649,1258,1434,1139,1370,1497
LOC6578610,36,25,51,13,14,24
LOC6578611,44,35,47,18,24,47
LOC6578612,320,289,341,203,206,208
LOC6578613,621,527,674,225,260,290
LOC6578615,93,111,117,0,0,1
LOC6578618,43,32,34,0,0,0
LOC6578619,777,546,684,1107,1327,1859
LOC6578620,4,1,2,5,2,6
LOC6578621,963,769,881,600,721,723
LOC6578622,2737,2012,2497,1830,2208,2552
LOC6578623,4953,3878,4695,3261,3675,4108
LOC6578624,2974,2575,3265,3732,3368,5827
LOC6578625,759,623,744,650,828,1009
LOC6578627,498,406,550,524,659,694
LOC6578628,368,311,343,190,214,241
LOC6578629,495,414,531,159,218,265
LOC6578630,1391,1121,1410,953,1208,1499
LOC6578631,7916,6380,7660,5760,7427,7399
LOC6578636,820,660,688,633,752,786
LOC6578637,2617,2079,2437,1856,2307,2325
LOC6578638,1631,1235,1570,1653,2185,2099
LOC6578639,828,657,795,630,759,852
LOC6578640,4621,3661,4306,2534,3281,3410
LOC6578641,20599,16127,19742,18011,23683,26439
LOC6578642,4922,4329,6004,4728,6690,6669
LOC6578643,1007,796,1015,1433,1983,2127
LOC6578644,843,653,817,637,739,931
LOC6578645,54,39,64,111,142,138
LOC6578646,604,479,633,433,592,638
LOC6578647,915,770,919,565,712,740
LOC6578648,623,492,523,688,894,980
LOC6578650,2,3,0,5,2,6
LOC6578651,923,687,861,1266,1584,2033
LOC6578652,9,2,6,11,21,23
LOC6578653,4,1,1,2,6,7
LOC6578655,5537,4878,6026,6154,7395,8373
LOC6578656,864,798,978,577,656,692
LOC6578657,357,302,458,274,407,444
LOC6578658,353,292,386,298,306,350
LOC6578659,1142,995,1078,705,931,867
LOC6578660,621,418,495,567,661,811
LOC6578661,1112,1088,1380,546,577,611
LOC6578662,1692,1290,1473,1540,1974,2108
LOC6578663,14651,11163,13467,14909,17638,19754
LOC6578664,384,310,394,147,215,249
LOC6578665,46955,33746,39196,40290,38416,54201
LOC6578666,942,752,947,915,1293,1274
LOC6578667,866,683,881,815,1057,1103
LOC6578668,505,437,517,651,832,964
LOC6578669,787,572,711,711,942,1090
LOC6578670,2336,2009,2438,1846,2374,2349
LOC6578671,28,15,27,105,134,142
LOC6578672,898,857,953,967,1092,1294
LOC6578673,1074,826,1046,341,442,563
LOC6578674,750,631,807,525,682,752
LOC6578675,2867,2369,2692,2897,3621,3773
LOC6578676,1,1,1,14,8,2
LOC6578677,2,5,5,4,6,8
LOC6578678,787,711,770,1539,1834,2653
LOC6578679,3781,2878,3432,5763,6665,8313
LOC6578680,1252,1150,1347,1652,2182,2344
LOC6578681,7000,5726,6984,5438,7694,7699
LOC6578682,550,442,527,419,602,600
LOC6578683,820,633,794,696,1033,1102
LOC6578684,2357,1994,2486,2057,3098,2900
LOC6578685,3216,2457,3111,3439,4126,4932
LOC6578686,2112,1797,2239,1017,1200,1118
LOC6578687,831,697,860,881,1180,1114
LOC6578690,23331,23212,29809,27820,38669,40977
LOC6578691,2531,2217,3019,1169,1627,1558
LOC6578692,25389,20025,24296,32177,38738,41379
LOC6578693,816,663,844,1152,1542,1496
LOC6578694,3216,2763,3524,3997,5590,5547
LOC6578696,2,1,0,2,1,2
LOC6578697,1681,1316,1564,1518,1863,1840
LOC6578698,11,11,23,49,65,82
LOC6578699,4,2,3,1,0,9
LOC6578700,755,618,755,548,600,785
LOC6578701,1071,848,1068,859,1166,1243
LOC6578702,6271,4637,5573,12881,15312,18652
LOC6578703,7924,6302,7784,5174,6556,6733
LOC6578704,1118,909,1108,591,771,742
LOC6578706,22,17,17,5,9,3
LOC6578707,662,652,799,785,1067,1106
LOC6578708,368,256,288,336,448,455
LOC6578709,1032,810,1137,1296,1644,1927
LOC6578710,3232,2639,3444,2967,4194,4205
LOC6578711,3265,2957,3887,2378,3433,3566
LOC6578712,15,18,14,9,9,14
LOC6578713,33,39,49,35,50,78
LOC6578717,0,0,0,0,0,0
LOC6578718,0,0,0,0,0,0
LOC6578720,462,357,419,386,565,568
LOC6578723,500,474,535,251,302,344
LOC6578724,1542,1136,1310,2261,2698,3343
LOC6578725,3446,2850,3366,3282,4237,4124
LOC6578726,1900,1536,1804,1475,1793,1774
LOC6578727,24,8,5,19,7,29
LOC6578728,25,11,13,2,5,11
LOC6578730,45,37,46,9,10,22
LOC6578731,438,335,376,395,567,605
LOC6578732,51,43,48,28,30,50
LOC6578733,710,557,624,419,548,526
LOC6578734,2,5,2,5,7,12
LOC6578735,460,389,494,920,1137,1151
LOC6578736,740,574,688,607,805,874
LOC6578737,6,11,7,45,50,57
LOC6578741,225,161,230,107,128,196
LOC6578744,1,0,0,6,6,4
LOC6578746,0,0,0,0,0,1
LOC6578748,3332,2668,3021,2086,2464,2845
LOC6578749,2289,2057,2593,1092,1744,1501
LOC6578750,11360,8178,9775,9114,11042,13369
LOC6578751,163,105,140,77,97,126
LOC6578754,493,374,488,208,234,296
LOC6578756,405,295,338,195,206,220
LOC6578760,0,0,0,0,2,1
LOC6578761,0,0,0,2,0,1
LOC6578764,43,36,23,56,60,103
LOC6578765,510,413,546,190,232,346
LOC6578767,874,702,915,823,1032,1179
LOC6578768,30,16,14,22,24,45
LOC6578769,108,76,79,45,53,65
LOC6578770,247,188,193,461,539,743
LOC6578772,960,774,853,1516,1905,2158
LOC6578773,1128,904,988,2083,2578,3033
LOC6578774,325,213,228,331,424,463
LOC6578775,6542,5057,6522,8179,10977,12682
LOC6578776,540,339,428,782,850,1106
LOC6578777,192,189,196,394,535,558
LOC6578778,731,509,761,1047,1375,1548
LOC6578779,2738,2142,2724,4630,6633,6738
LOC6578780,14644,10375,11784,12620,13999,17740
LOC6578781,1399,1056,1275,371,445,539
LOC6578783,20,15,8,5,6,4
LOC6578784,5598,4050,4805,5384,6815,7661
LOC6578785,981,749,1029,928,1288,1257
LOC6578786,661,558,672,588,707,849
LOC6578787,76,49,87,68,91,77
LOC6578788,1003,772,937,662,841,741
LOC6578789,2393,1922,2284,1869,2360,2399
LOC6578791,2081,1729,2004,1935,2547,2551
LOC6578793,455,469,519,518,662,730
LOC6578794,2023,1624,1993,1528,1868,2046
LOC6578795,3269,2894,3530,2808,3601,3387
LOC6578796,12071,9300,11102,11694,14060,14456
LOC6578797,5079,4257,5058,3400,4199,4388
LOC6578798,732,625,792,714,953,1120
LOC6578799,150,110,160,151,193,226
LOC6578800,1683,1228,1565,1201,1478,1579
LOC6578801,1126,977,1223,1825,2493,2574
LOC6578802,749,530,709,610,757,879
LOC6578803,1371,1009,1299,2012,2474,2784
LOC6578808,569,508,624,499,712,761
LOC6578809,396,336,386,325,370,468
LOC6578810,5662,4702,5688,4069,4815,5025
LOC6578811,323,243,308,238,307,369
LOC6578812,1341,1103,1226,1149,1538,1615
LOC6578815,4666,3694,4477,9205,11780,14893
