,dbuz_head_rep1,dbuz_head_rep2,dbuz_head_rep3,dkoep_head_rep1,dkoep_head_rep2,dkoep_head_rep3
LOC122757136,2,3,1,0,0,0
LOC122757140,0,0,0,2,11,4
LOC122757143,0,0,1,21,14,21
LOC122757150,1182,1094,1476,695,982,945
LOC122757152,42,38,31,18,40,31
LOC122757154,0,0,0,0,0,0
LOC122757155,2965,2168,2642,4431,4993,6977
LOC122757160,30,40,47,30,50,55
LOC122757161,0,0,0,0,5,2
LOC122757162,45,39,61,382,461,582
LOC122757163,0,0,0,0,1,1
LOC122757164,601,510,669,383,599,405
LOC122757165,66,51,59,34,46,29
LOC122757170,2554,2073,2770,3307,4360,5014
LOC122757173,6,5,3,2,3,3
LOC122757179,1418,1283,1436,434,462,632
LOC122757194,4,5,0,6,4,6
LOC122757202,9,10,9,11,10,6
LOC122757203,33,24,45,34,62,48
LOC122757204,0,1,0,0,0,0
LOC122757207,131,84,121,398,459,544
LOC122757211,63,47,64,303,374,385
LOC122757221,4,2,9,0,1,0
LOC122757222,7,4,9,0,0,2
LOC122757230,0,0,2,2,0,7
LOC122757231,43,55,32,7,7,8
LOC122757236,1,0,0,0,0,0
LOC122757239,56,47,89,64,106,86
LOC122757242,5,2,2,2,1,3
LOC122757257,0,0,0,0,0,2
LOC122757259,149,147,181,91,141,129
LOC122757261,89,49,90,25,31,29
LOC122757265,6,8,3,16,13,14
LOC122757270,863,661,784,183,215,300
LOC122757272,0,2,0,0,1,0
LOC122757279,36,48,66,44,57,50
LOC122757281,0,0,0,1,0,2
LOC122757287,20,23,23,29,25,22
LOC122757289,138,91,119,189,219,241
LOC122757290,2,1,3,42,55,73
LOC122757291,152,96,155,18,22,26
LOC122757292,0,0,0,0,0,1
LOC122757293,20,25,31,0,0,3
LOC122757294,78,56,71,0,0,0
LOC122757295,863,798,1017,439,556,563
LOC122757298,0,0,0,0,0,0
LOC122757299,0,0,0,3,16,13
LOC122757301,942,772,927,761,897,1072
LOC122757306,51,35,49,144,224,195
LOC122757307,78,49,61,163,257,214
LOC122757320,0,0,0,106,106,115
LOC122757331,22,32,34,26,44,31
LOC122757341,27,16,20,3,5,5
LOC122757347,0,0,0,2,0,0
LOC122757348,0,0,0,8,3,6
LOC122757353,1335,1011,1212,2611,3407,4428
LOC122757354,22,21,31,17,21,20
LOC122757385,17,11,16,3,5,1
LOC122757418,0,2,1,0,2,3
LOC122757434,0,0,0,0,0,0
LOC122757436,0,3,0,3,2,1
LOC122757442,0,0,0,0,0,0
LOC122757445,83,71,85,62,83,72
LOC122757450,5,0,1,1,4,5
LOC122757451,0,0,0,0,0,0
LOC122757452,300,252,375,257,338,286
LOC122757458,209,147,222,275,341,338
LOC122757460,0,1,0,2,4,11
LOC122757466,316,318,431,225,353,271
LOC122757470,0,1,0,1,0,2
LOC122757471,145,134,179,137,215,152
LOC122757476,1,0,0,0,0,0
LOC122757481,4,5,8,2,7,2
LOC122757484,0,0,1,0,0,0
LOC122757494,0,0,0,0,0,0
LOC122757496,71,47,54,65,78,78
LOC122757505,33,33,32,17,11,19
LOC122757510,0,0,0,0,0,0
LOC122757511,161,127,151,82,94,90
LOC122757514,0,0,0,0,1,0
LOC122757517,35,20,14,32,28,43
LOC122757526,108,85,120,21,24,28
LOC122757528,1,0,1,3,5,3
LOC122757530,11,1,4,3,4,4
LOC122757536,2535,1990,2580,1835,2552,2797
LOC122757539,10,6,8,8,32,14
LOC122757544,1,2,1,0,0,0
LOC122757547,14,4,10,13,18,22
LOC122757548,81,83,92,27,35,18
LOC122757556,0,4,1,0,0,1
LOC122757558,3,4,13,17,17,19
LOC122757561,2349,1896,2282,3025,4398,4572
LOC122757562,29,16,24,8,12,13
LOC122757563,8,7,6,4,3,2
LOC122757566,0,3,1,0,0,0
LOC122757569,331,347,427,225,347,270
LOC122757575,1,1,0,11,7,9
LOC122757576,110,72,105,181,324,234
LOC122757579,46,29,40,14,19,16
LOC122757581,26,20,27,499,599,783
LOC122757583,10,6,7,16,26,21
LOC122757588,5,8,5,7,0,1
LOC122757589,172,120,144,59,96,68
LOC122757595,18,28,31,38,42,30
LOC122757597,10,16,21,5,3,8
LOC122757600,0,0,0,0,0,1
LOC122757602,17,10,21,8,6,4
LOC122757604,0,0,0,0,1,3
LOC122757605,431,366,405,753,849,1099
LOC122757608,1,0,0,0,0,0
LOC122757612,41,18,23,18,18,32
LOC122757613,302,238,292,161,279,214
LOC122757615,15,20,24,3,13,9
LOC122757618,3,1,2,1,2,1
LOC122757620,51,50,47,0,0,0
LOC122757625,51,49,60,0,0,0
LOC122757626,2,0,0,2,1,0
LOC122757627,813,664,847,341,397,448
LOC122757628,20,17,20,9,16,11
LOC122757631,1,3,3,1,1,4
LOC122757632,2,3,6,2,5,2
LOC122757633,28,24,20,21,24,26
LOC122757636,184,140,192,74,92,92
LOC122757646,1911,1489,1677,29,36,35
LOC122757647,13,9,10,0,5,2
LOC122757656,0,0,2,0,0,5
LOC122757660,1,2,2,0,0,0
LOC122757663,0,0,0,0,0,0
LOC122757664,118,97,158,53,74,42
LOC122757668,71,54,84,33,57,71
LOC122757669,196,132,146,161,212,248
LOC122757671,6,2,6,0,0,0
LOC122757672,3,3,4,9,6,10
LOC122757674,55,46,47,21,28,18
LOC122757683,0,0,0,0,0,0
LOC122757684,764,552,517,353,359,668
LOC122757686,0,3,0,592,595,707
LOC122757687,4,3,10,15,13,16
LOC122757693,0,0,0,5,4,7
LOC122757697,866,747,905,853,1148,960
LOC122757698,2,5,1,1,1,0
LOC122757699,0,0,0,17,12,22
LOC122757701,0,0,0,0,0,0
LOC122757709,116,118,144,47,57,45
LOC122757715,0,0,0,0,0,0
LOC122757721,232,177,182,133,169,206
LOC122757724,319,268,345,218,264,245
LOC122757728,1038,735,932,0,0,0
LOC122757730,87,59,74,6,5,7
LOC122757732,1,0,1,935,1026,1338
LOC122757733,34,26,57,49,90,63
LOC122757734,2,1,2,0,2,0
LOC122757739,1,0,0,0,1,0
LOC122757742,198,216,247,180,241,229
LOC122757747,1,10,16,3,12,11
LOC122757753,189,147,176,226,224,241
LOC122757756,0,1,0,0,1,1
LOC122757757,136,112,182,85,124,111
LOC122757763,6,6,9,5,10,3
LOC122757765,231,187,250,168,229,156
LOC122757768,13,11,13,51,78,68
LOC122757781,24,21,22,6,8,4
LOC122757786,3,1,1,4,4,3
LOC122757789,0,0,0,0,0,2
LOC122757792,0,0,0,2,0,3
LOC122757795,0,0,0,4,2,1
LOC122757796,0,0,0,0,0,0
LOC122757801,0,0,0,0,0,0
LOC122757807,107,83,91,108,138,98
LOC122757818,0,0,0,0,0,4
LOC122757823,19,15,19,1,2,3
LOC122757824,0,0,0,0,0,0
LOC122757831,2,7,10,20,30,23
LOC122757838,1,1,0,1,3,3
LOC122757841,20,18,15,35,41,47
LOC122757842,0,0,0,7,6,5
LOC122757847,4,1,3,3,9,5
LOC122757851,0,0,1,0,0,1
LOC122757855,14,13,29,7,8,4
LOC122757863,12,11,7,3,6,0
LOC122757867,56,35,54,17,25,23
LOC122757869,14,10,12,17,14,8
LOC122757871,31,24,23,45,71,55
LOC122757872,78,67,85,76,77,94
LOC122757877,44,47,68,32,36,43
LOC122757896,273,200,280,210,257,238
LOC122757898,196,190,230,115,120,109
LOC122757913,83,61,92,43,40,34
LOC26527122,125,89,163,38,36,41
LOC26527127,1,0,2,0,0,0
LOC26527129,2699,2156,2583,2594,3251,3902
LOC26527130,1107,928,1161,647,761,1048
LOC26527134,1,0,1,5,4,1
LOC26527135,20,18,16,13,16,21
LOC26527141,5,3,8,6,3,4
LOC26527144,924,810,1030,717,965,1028
LOC26527145,285,173,240,156,195,186
LOC26527151,0,0,0,1,0,1
LOC26527152,0,0,0,14,16,30
LOC26527153,908,803,982,870,1077,1155
LOC26527154,2846,1948,2485,4496,5845,7419
LOC26527155,63,47,63,83,177,140
LOC26527158,26589,22594,27849,14667,18625,17313
LOC26527159,22,9,18,9,19,23
LOC26527164,201,158,191,235,251,330
LOC26527166,2,0,0,8,18,13
LOC26527186,1,1,0,1,4,2
LOC26527188,6,3,2,282485,456866,368026
LOC26527200,1926,1835,2056,2412,3281,3473
LOC26527202,129,114,160,308,378,411
LOC26527209,1042,823,1000,873,1029,1169
LOC26527210,3057,2617,2973,1558,2004,1962
LOC26527213,458,400,572,391,546,481
LOC26527215,0,2,0,8,5,6
LOC26527216,346,292,368,265,355,430
LOC26527220,0,2,1,0,0,5
LOC26527233,30,36,27,8,14,14
LOC26527240,11,6,5,12,10,11
LOC26527241,1781,1620,1956,1221,1703,1834
LOC26527245,7328,5856,7090,5323,6884,6438
LOC26527248,1,0,1,3,1,0
LOC26527251,58,45,43,20,18,23
LOC26527255,383,311,378,128,187,161
LOC26527259,1,1,0,0,0,0
LOC26527264,0,0,1,14,23,30
LOC26527272,2,0,1,0,0,3
LOC26527273,2641,2112,2527,2707,3325,3615
LOC26527281,483,396,479,407,479,506
LOC26527291,5940,4701,5454,3157,3423,4407
LOC26527294,72,53,63,38,97,77
LOC26527295,1015,846,1093,193,248,299
LOC26527306,1786,1520,1947,1197,1544,1552
LOC26527311,1939,1466,1885,983,1259,1395
LOC26527317,94,80,93,65,106,78
LOC26527318,88,92,104,42,77,57
LOC26527323,0,0,0,0,0,1
LOC26527326,1,0,0,2,1,3
LOC26527337,0,0,0,0,1,2
LOC26527342,2,0,2,0,0,0
LOC26527353,3,2,2,1,0,1
LOC26527354,1131,909,1156,409,527,523
LOC26527359,57,52,50,57,74,84
LOC26527368,2873,2167,2603,1585,1945,2249
LOC26527371,241,182,229,195,206,179
LOC26527372,1087,793,961,952,1315,1450
LOC26527377,1,1,6,0,6,6
LOC26527384,0,0,0,0,0,0
LOC26527398,558,425,570,717,687,905
LOC26527401,673,491,567,611,805,777
LOC26527404,15,12,7,12,13,17
LOC26527411,0,0,0,0,0,0
LOC26527415,201,173,261,217,332,320
LOC26527418,0,1,0,0,2,2
LOC26527420,2510,2004,2530,2167,3008,2706
LOC26527430,2248,2024,2483,1098,1504,1638
LOC26527433,1637,1395,1801,2812,4116,4134
LOC26527435,31,23,49,50,98,85
LOC26527437,14,14,12,19,14,23
LOC26527445,41,18,30,47,58,84
LOC26527454,742,604,782,690,1018,970
LOC26527455,2,0,0,0,0,0
LOC26527462,2813,2585,3101,1211,1571,1437
LOC26527479,441,298,382,399,482,546
LOC26527490,102,83,72,193,250,239
LOC26527497,0,1,0,1,1,0
LOC26527507,2,2,2,0,2,2
LOC26527520,597,535,617,761,986,1120
LOC26527530,811,625,833,379,392,487
LOC26527538,51,30,37,10,8,20
LOC26527546,5,6,3,9,10,14
LOC26527558,249,169,231,135,201,193
LOC26527560,512,457,490,355,452,511
LOC26527573,0,0,0,0,0,1
LOC26527576,0,0,0,0,0,0
LOC26527579,736,655,803,375,444,479
LOC26527581,1693,1334,1585,965,1090,1293
LOC26527585,62,46,48,78,143,107
LOC26527586,397,316,429,299,398,371
LOC26527598,2,2,1,1,0,1
LOC26527599,3429,3116,3660,2601,3330,3268
LOC26527610,1,0,0,1,3,1
LOC26527613,3,2,2,0,4,3
LOC26527618,4,5,3,69,91,106
LOC26527619,70,46,56,23,27,32
LOC26527622,149,131,160,146,219,247
LOC26527629,3,5,3,1,5,3
LOC26527630,4395,3606,4655,1560,2297,2320
LOC26527632,1144,894,1092,1117,1470,1609
LOC26527634,391,305,347,83,94,102
