,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC6580088,0,0,4,0,3,3,0,0,0,2,5,5,0,0,0
LOC6580089,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC6580090,30,12,150,72,191,32,40,91,80,40,115,84,49,52,34
LOC6580091,306,270,1563,412,1026,280,271,584,321,181,468,326,218,341,168
LOC6580092,5203,4238,25963,5474,12706,4352,4943,12481,7166,4751,11620,7002,3509,4959,2693
LOC6580093,463,290,2081,1,16,10,6,24,13,6,5,9,7,11,6
LOC6580094,221,245,1536,992,2005,665,229,470,277,598,907,818,75,49,44
LOC6580096,21,23,122,0,10,2,1,0,0,0,0,1,0,0,0
LOC6580098,648,511,2769,926,2464,831,1556,4541,2140,787,1660,1244,800,1154,606
LOC6580099,743,569,3868,626,1678,644,526,1266,807,589,1387,1024,797,980,568
LOC6580103,6478,5290,32750,7316,17271,5869,5685,14015,7758,4717,13942,8767,4174,7418,3626
LOC6580104,6,0,17,34,44,25,7,11,18,11,35,24,11,9,1
LOC6580105,70,53,522,111,199,77,78,236,103,80,194,112,24,32,36
LOC6580106,863,551,2897,1523,2432,824,728,1535,704,625,1350,906,615,996,596
LOC6580107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580108,533,368,2022,1134,2306,769,272,525,270,344,998,496,285,275,190
LOC6580109,397,364,2299,467,1320,436,396,1079,589,353,921,684,267,525,251
LOC6580110,12032,8830,55267,16633,33119,12104,19199,36056,20715,10934,27898,15767,7879,11756,5739
LOC6580111,21,39,88,25,40,23,14,37,29,22,89,51,11,30,25
LOC6580112,329,259,1660,423,911,332,161,303,252,235,654,312,234,322,184
LOC6580114,867,608,3930,1189,2344,961,1111,2181,1272,967,1974,1200,685,882,412
LOC6580115,1040,1119,6245,1471,3956,1384,1068,2836,1676,1007,2278,1795,607,1120,483
LOC6580116,58,54,511,149,311,105,117,156,90,78,150,109,76,137,62
LOC6580117,813,636,4149,999,2183,912,470,1351,686,430,1077,854,643,1014,468
LOC6580118,309,264,1541,614,1492,509,291,621,499,247,785,693,426,872,468
LOC6580119,2455,2142,13021,3424,7622,2726,2155,5578,3070,1912,5838,3495,1885,2600,1687
LOC6580120,96,91,508,107,150,99,59,222,115,49,220,96,109,90,65
LOC6580121,16,11,91,50,134,52,62,83,64,4,16,12,12,20,5
LOC6580123,491,311,1868,669,1161,507,710,1204,780,636,1248,828,288,435,185
LOC6580128,689,474,3343,825,1643,715,952,1653,1068,782,1851,1085,387,595,335
LOC6580129,93,78,414,178,388,133,76,171,119,59,121,98,81,162,69
LOC6580130,167,140,822,233,435,179,187,371,219,85,282,152,123,239,132
LOC6580131,38,27,226,106,135,55,22,62,42,30,112,48,11,28,15
LOC6580132,821,649,3640,1142,2432,902,751,1521,1056,774,1714,1399,438,779,315
LOC6580133,134,227,1586,1571,3712,1220,146,288,201,912,2663,1758,16,44,22
LOC6580134,3304,2684,14893,3939,7123,2615,3203,6204,3418,2930,6863,3987,1725,2867,1273
LOC6580138,722,470,3035,881,2124,764,654,1520,803,640,1735,1202,648,879,430
LOC6580139,4064,2672,16636,4448,10271,3800,4060,8189,4922,2835,6823,4133,2629,3534,1832
LOC6580141,2300,2956,17450,2758,6411,2262,2459,7131,3455,1308,3266,2441,1814,2857,1453
LOC6580142,2526,1812,11322,3433,7267,2415,2418,4667,2564,2003,5349,3653,1674,2493,1298
LOC6580143,201,127,768,192,414,166,175,358,266,156,276,187,129,143,91
LOC6580144,164,160,1170,375,750,191,185,307,213,131,421,339,162,282,173
LOC6580145,12,6,80,164,416,86,23,51,37,142,445,245,102,122,92
LOC6580146,310,161,996,309,720,244,186,424,257,148,393,215,243,307,111
LOC6580147,336,370,2262,527,1703,624,302,837,563,233,824,694,395,696,339
LOC6580148,371,373,2018,380,953,410,319,960,445,291,737,441,215,258,160
LOC6580149,4044,3524,21084,6002,14480,5153,4252,11922,6641,4116,10301,6967,5304,6422,3769
LOC6580150,0,1,0,0,3,0,0,1,0,0,1,9,0,8,0
LOC6580151,58,24,285,1,0,2,6,22,15,22,25,27,5,8,3
LOC6580152,2,3,9,0,0,0,0,0,0,0,0,1,1,0,0
LOC6580153,3075,2532,16209,2019,4448,1588,1141,2765,1487,764,1920,1267,949,1182,710
LOC6580154,7173,5583,35308,7533,16286,5279,5369,12097,6928,7167,19446,12372,7058,10051,4698
LOC6580155,1451,1138,7170,2467,5717,2158,2387,5005,2878,1658,4638,2675,1997,2470,1405
LOC6580157,179,135,913,242,620,209,192,594,327,211,432,316,133,186,89
LOC6580159,308,280,1627,471,1074,279,262,569,392,210,627,348,248,311,201
LOC6580160,360,271,2001,467,812,263,307,755,516,301,741,449,283,362,175
LOC6580161,654,533,3021,1126,2278,770,441,792,527,421,917,627,557,710,478
LOC6580162,0,0,10,0,0,0,2,0,1,0,0,0,0,0,0
LOC6580163,1889,1168,8402,2047,4355,1701,1905,3501,2055,1394,3154,2063,1098,1558,633
LOC6580165,403,287,1892,673,1370,506,297,585,423,328,770,492,418,421,269
LOC6580166,835,647,3941,1373,3139,1131,1215,2781,1938,733,1850,1378,852,884,659
LOC6580167,215,161,937,291,524,191,250,393,308,191,391,283,142,209,99
LOC6580168,915,799,5079,1366,3701,1063,1254,3041,1647,1039,2880,1684,747,1178,699
LOC6580169,659,494,2636,805,1289,590,512,1029,663,491,877,705,288,537,259
LOC6580170,345,285,1595,300,735,282,251,566,381,187,695,341,250,296,173
LOC6580171,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0
LOC6580172,6816,4883,29803,10570,18070,6641,6700,13347,7582,6095,14440,8828,4120,5847,3006
LOC6580174,151,110,538,364,613,201,204,265,214,109,293,266,177,220,156
LOC6580175,8,3,10,11,13,10,9,24,28,6,14,10,10,15,4
LOC6580176,1387,975,5807,2162,3520,1448,1999,3489,1977,1363,3078,1705,1079,1447,718
LOC6580177,2455,1655,9438,2473,5584,2205,2618,5344,2871,1686,3829,2365,1884,2388,1220
LOC6580178,330,189,1196,325,799,241,248,519,327,243,547,349,176,227,176
LOC6580179,180,185,1188,309,570,240,207,314,296,149,240,227,219,353,185
LOC6580180,255,215,1137,440,935,344,238,625,253,158,411,271,152,244,102
LOC6580181,1549,1508,8368,1793,4316,1438,852,1922,1048,1002,3045,1812,487,822,462
LOC6580182,4,9,33,25,67,28,18,56,31,2,3,1,32,27,23
LOC6580185,363,245,1438,245,853,254,171,459,270,197,458,329,175,386,167
LOC6580186,655,480,3174,783,1494,603,537,985,632,494,1099,676,490,693,332
LOC6580187,662,468,3258,884,2022,615,568,1276,670,819,1684,1081,472,601,326
LOC6580188,218,195,1249,354,663,222,180,575,278,199,522,333,226,257,164
LOC6580189,2645,2104,14173,3586,8736,2778,1952,5404,2774,2423,6844,4308,1839,2680,1465
LOC6580190,53,37,249,112,188,56,35,36,59,38,74,42,35,52,31
LOC6580191,67,41,332,91,153,57,61,147,66,55,100,80,64,67,31
LOC6580192,359,316,2015,567,1662,446,450,1185,635,306,906,557,314,554,280
LOC6580193,174,123,652,163,557,179,67,224,111,79,220,134,265,501,275
LOC6580194,338,234,1621,345,758,273,319,695,381,329,649,518,374,482,284
LOC6580195,328,317,1822,393,922,301,196,640,271,145,431,294,175,313,149
LOC6580196,63,65,438,104,295,79,81,229,68,60,163,122,87,87,33
LOC6580197,255,168,1014,332,629,226,312,495,350,278,542,334,133,150,82
LOC6580198,0,0,0,10,10,3,3,8,8,2,0,7,8,0,7
LOC6580199,681,410,2687,1004,1460,606,781,1104,661,657,1323,779,305,452,242
LOC6580200,12,7,89,15,24,11,8,12,10,9,29,23,8,11,6
LOC6580201,1554,1315,7747,2963,5901,2174,1729,3459,2262,2328,4622,3575,2172,2925,1633
LOC6580202,82,72,273,120,327,157,22,164,49,19,134,75,41,103,49
LOC6580203,737,605,3758,1281,2717,914,793,1917,1081,635,1744,963,714,765,434
LOC6580204,377,295,1515,386,721,314,396,855,549,261,721,380,290,314,188
LOC6580205,1145,822,4886,890,1691,663,1427,2202,1343,1023,2452,1368,522,611,238
LOC6580207,16,25,57,42,75,12,18,45,9,14,27,8,5,8,11
LOC6580208,41,23,121,106,223,91,40,59,31,37,72,22,115,96,81
LOC6580209,12,4,67,41,25,17,9,9,22,4,18,5,33,57,41
LOC6580212,179,226,1495,3035,5894,2061,90,386,166,236,695,454,22,12,19
LOC6580213,235,133,1027,409,887,287,293,480,302,234,393,345,239,240,143
LOC6580214,91,50,396,158,217,90,51,170,111,35,92,79,37,97,46
LOC6580215,2924,1687,10509,3388,5699,2115,3170,5409,3148,2474,5850,3515,1414,2240,1275
LOC6580216,1021,693,3995,1160,2011,839,1275,2402,1492,1146,2880,1572,953,1147,759
LOC6580217,1089,919,6330,1383,3429,1171,1217,2734,1431,871,2171,1817,1131,1796,991
LOC6580218,162,95,717,222,418,170,237,391,186,142,451,270,91,146,74
LOC6580219,11,11,46,6,18,6,4,35,22,3,8,2,1,10,0
LOC6580220,3,8,35,0,11,2,1,0,0,0,5,3,0,0,5
LOC6580221,595,391,2183,982,1771,599,628,1178,657,335,829,458,476,669,356
LOC6580222,183,138,726,340,692,183,182,451,250,180,378,287,215,129,101
LOC6580223,2287,1650,10591,2381,5273,1825,2093,5024,3019,2608,7214,4352,443,649,347
LOC6580224,4017,2765,18680,31436,44273,12944,3426,7244,4010,6287,10599,7962,3124,3412,2104
LOC6580225,1960,1320,9008,2280,4295,1536,1432,3454,1847,1523,3288,2101,1233,2015,981
LOC6580226,182,124,1007,263,605,241,194,559,272,143,431,352,192,244,160
LOC6580227,382,199,1670,363,1032,291,404,863,482,322,631,437,333,377,221
LOC6580228,1600,1443,9026,1927,4791,1930,1370,4109,2559,1174,2890,2432,1596,2446,1292
LOC6580229,213,165,1022,340,587,203,224,389,224,172,352,222,183,290,165
LOC6580230,0,0,0,14,6,3,3,0,0,0,2,4,5,2,2
LOC6580232,1259,951,6096,1009,2189,1034,1389,3241,1907,1141,2971,1802,245,563,333
LOC6580233,4084,3047,19478,5116,10367,3506,3043,6535,3804,3158,8873,5229,2610,3845,2076
LOC6580235,70,59,394,105,310,54,39,96,65,58,195,162,51,75,59
LOC6580236,122,73,591,199,348,167,149,268,192,108,207,175,129,163,59
LOC6580238,0,0,17,1,0,0,1,0,1,0,0,0,0,2,0
LOC6580239,1331,1230,6366,1605,4022,1504,1425,3418,1986,1043,3253,1965,1088,1911,858
LOC6580240,376,275,2205,297,679,322,120,358,172,115,307,198,272,434,244
LOC6580241,812,688,4129,970,2339,767,728,1896,1027,739,1944,1092,310,503,291
LOC6580242,29,18,230,17,42,26,16,30,4,11,26,22,19,28,13
LOC6580243,403,332,2177,679,1379,430,459,1169,723,391,1107,640,435,599,346
LOC6580244,4,4,28,5,24,5,21,43,18,7,30,11,8,11,3
LOC6580246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580248,10,7,41,36,26,43,87,168,77,19,79,66,47,82,28
LOC6580252,91,97,842,1358,3183,996,72,128,91,53,106,98,17,14,0
LOC6580253,165,137,916,194,583,193,259,548,335,173,438,289,189,179,112
LOC6580254,284,300,1664,259,665,247,225,538,244,234,619,428,183,292,148
LOC6580256,1,0,0,0,21,0,4,0,0,1,3,0,0,0,2
LOC6580258,0,0,0,1,0,0,0,4,0,1,0,0,1,0,0
LOC6580259,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
LOC6580262,136,203,1287,1383,3506,991,52,261,130,548,1528,1052,3,0,0
LOC6580263,257,418,2862,3015,9612,2857,67,313,122,1887,4501,3569,2,6,0
LOC6580264,55,76,682,779,1507,321,6,38,19,588,1478,955,0,0,0
LOC6580265,19,24,148,185,539,152,3,26,21,29,42,69,0,0,0
LOC6580266,0,0,0,5,8,5,0,11,2,2,0,0,0,5,0
LOC6580267,0,1,1,0,5,0,5,0,3,0,0,1,0,1,0
LOC6580268,1,0,0,1,0,0,0,1,0,2,0,3,0,0,0
LOC6580270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580272,423,335,2210,686,1515,527,979,2623,1281,390,996,739,243,349,208
LOC6580273,0,0,3,0,0,0,0,0,4,3,0,0,1,1,1
LOC6580274,0,2,0,0,0,1,0,5,0,2,0,0,1,0,0
LOC6580275,136,100,572,171,394,187,165,339,260,125,323,193,117,143,79
LOC6580276,1523,1181,7437,1569,4246,1341,1301,2867,1652,1346,3047,2049,1046,1559,896
LOC6580277,15,14,55,50,156,63,16,51,34,20,41,43,9,12,3
LOC6580278,2482,1401,8995,2852,5454,1853,2230,3920,1915,1256,2655,1787,2499,2958,1682
LOC6580279,61,51,206,48,87,50,34,72,58,58,137,135,14,30,20
LOC6580281,3494,2466,15164,4670,11268,3901,2100,4422,2601,3091,6669,4783,2951,4389,2183
LOC6580282,653,469,3490,683,1993,837,540,1435,901,392,1108,754,341,440,320
LOC6580283,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0
LOC6580284,80,40,359,204,394,147,138,339,182,84,106,116,75,130,66
LOC6580285,2353,3128,20203,5894,23678,9250,5619,23554,13423,4075,13569,12329,4833,7840,4885
LOC6580286,416,367,2320,438,827,329,453,966,684,373,865,544,133,224,174
LOC6580287,6,9,36,14,13,8,4,17,12,24,17,10,1,7,9
LOC6580288,1096,620,4730,2039,3436,1271,1075,1964,1181,823,1794,1175,1015,1181,601
LOC6580290,52,36,247,46,91,34,75,92,90,6,16,12,93,54,43
LOC6580292,649,682,3154,950,2171,720,372,832,464,424,1081,584,432,585,319
LOC6580293,132,141,851,194,563,199,126,344,194,178,408,264,129,233,115
LOC6580294,218,264,1484,409,985,321,241,613,423,267,635,429,265,389,240
LOC6580295,419,380,2489,789,2251,700,846,2263,1226,361,895,775,388,533,293
LOC6580296,416,369,1719,808,1673,557,571,1230,526,329,807,592,468,712,404
LOC6580297,71,53,381,149,200,100,108,189,120,90,207,142,108,117,63
LOC6580298,600,598,4299,14,14,17,0,0,0,0,0,0,0,0,0
LOC6580299,704,536,3197,962,1980,689,906,1760,1055,656,1977,991,644,961,431
LOC6580300,449,381,2281,550,1370,495,404,933,514,348,894,539,322,369,185
LOC6580301,358,319,1909,435,1006,337,244,790,492,212,687,461,225,455,182
LOC6580302,0,0,12,0,0,0,8,0,8,2,5,1,0,7,0
LOC6580303,5845,4608,25376,6859,16828,6041,5667,11244,6764,4014,9230,6024,4926,8752,4644
LOC6580304,65,52,395,116,207,97,64,189,114,78,251,141,32,46,29
LOC6580305,188,192,1189,250,844,287,176,599,363,136,219,316,192,470,217
LOC6580306,3656,2853,15538,4000,7987,2845,4650,8461,5603,2752,5695,3692,2497,4010,2026
LOC6580308,8,0,48,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580311,392,274,1826,277,544,191,453,874,535,229,597,452,287,411,210
LOC6580312,191,111,957,302,446,181,217,318,219,187,335,186,158,190,114
LOC6580313,1226,955,5973,1287,2943,1200,1477,3114,1608,714,1980,1305,1001,1343,692
LOC6580314,500,390,2370,598,1354,496,504,1212,604,405,940,655,541,668,284
LOC6580316,1281,865,5422,1272,2481,1067,1697,3233,1909,1070,2590,1588,769,1097,529
LOC6580317,1839,1425,9379,1342,3346,1411,1618,4036,2556,1527,4905,2876,762,1247,664
LOC6580319,378,208,1545,603,1206,389,304,573,308,510,1089,690,154,168,87
LOC6580321,421,345,1842,316,672,315,257,498,358,297,805,387,92,155,142
LOC6580322,1253,939,6503,1319,3624,1158,889,2348,1336,678,1967,1331,732,775,508
LOC6580324,1157,1093,6815,1588,3727,1354,1718,4021,2356,1231,3420,2167,1879,2401,1217
LOC6580325,48,42,316,43,120,62,31,94,33,21,55,37,7,33,11
LOC6580331,124,87,781,93,247,86,85,286,177,68,247,120,104,136,107
LOC6580332,482,378,2480,423,1290,419,106,278,140,307,840,504,144,233,117
LOC6580335,262,182,1237,218,567,234,435,921,580,215,629,290,115,228,128
LOC6580336,160,176,1266,824,1851,575,178,457,217,6,14,8,59,54,56
LOC6580337,53,71,278,3067,7512,1389,16,22,9,3525,9376,6026,0,5,0
LOC6580338,234,478,4063,2632,6918,2103,192,461,253,1429,3640,2366,9,8,6
LOC6580339,1148,878,5621,1381,3203,1151,872,2204,1218,824,2388,1529,1021,1353,726
LOC6580340,137,132,887,68,188,40,128,340,153,73,153,102,57,30,15
LOC6580341,392,373,2627,334,1003,293,328,858,502,205,610,377,69,120,57
LOC6580342,38,23,302,187,528,141,0,0,7,93,210,161,5,0,1
LOC6580343,6,13,0,35,69,34,5,9,0,2,4,7,0,1,10
LOC6580344,676,842,6826,6416,16067,4551,213,640,345,5075,13330,8282,55,121,53
LOC6580345,4090,3167,20500,4316,8795,2922,1857,4675,2465,2838,7446,4567,2168,2644,1576
LOC6580346,62,58,328,48,100,55,0,10,0,14,49,50,41,57,38
LOC6580347,1093,911,5844,1275,3074,933,992,2517,1390,1277,2846,1916,875,1028,564
LOC6580348,19,22,111,1,39,8,8,8,10,7,10,6,7,5,0
LOC6580349,4,6,45,17,72,41,4,0,14,1,10,6,14,2,6
LOC6580350,18,23,78,75,156,44,10,26,23,17,36,15,9,2,22
LOC6580351,22,12,62,4,12,11,6,10,3,5,2,3,0,1,3
LOC6580352,2,0,0,11,48,4,4,1,7,3,24,4,10,2,0
LOC6580353,849,635,3762,1042,2354,677,603,1659,878,527,1306,916,741,952,587
LOC6580354,268,340,2061,577,1496,495,357,965,574,122,458,272,133,215,118
LOC6580355,514,398,2470,806,1574,648,1317,2220,1299,529,1146,718,892,1147,527
LOC6580357,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0
LOC6580359,0,0,15,0,0,0,3,1,0,0,0,0,7,23,1
LOC6580362,1,0,14,0,6,3,0,8,1,2,1,0,0,0,0
LOC6580364,0,0,0,2,0,0,6,0,8,0,1,0,0,0,0
LOC6580366,0,0,0,3,6,2,2,0,6,0,2,0,0,2,0
LOC6580371,14,2,28,545,989,360,217,572,275,77,177,128,444,507,261
LOC6580372,2,2,6,0,0,0,0,0,3,0,0,0,0,0,1
LOC6580373,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LOC6580374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580377,16,20,62,5,18,7,24,29,3,2,5,7,13,13,8
LOC6580378,1294,844,5602,1403,2997,1048,1626,3566,2108,990,2622,1674,950,1248,655
LOC6580379,20,15,86,12,84,10,388,858,454,43,83,60,22,22,25
LOC6580380,2,4,20,0,11,10,1,0,0,0,10,3,6,24,1
LOC6580381,1284,999,5812,1056,2467,1103,1224,2745,1734,1061,3017,1827,765,1134,572
LOC6580383,249,195,1188,679,1408,565,424,1071,530,247,660,435,319,719,237
LOC6580384,72,83,381,290,591,242,77,236,152,72,215,161,64,110,51
LOC6580385,792,679,3969,842,2094,704,723,1580,972,602,1643,1226,495,952,401
LOC6580386,547,251,2004,704,1052,414,333,419,305,243,439,303,391,510,212
LOC6580388,267,340,2096,290,971,406,274,864,566,197,547,426,329,499,295
LOC6580389,56,93,279,72,168,30,70,114,53,43,203,120,55,80,35
LOC6580390,3304,2926,18697,5079,12082,3991,3706,9455,4855,3176,8511,5398,2706,3643,2219
LOC6580393,464,331,2420,657,1823,625,243,679,408,265,751,449,407,610,312
LOC6580395,2310,1448,10056,4545,8559,2758,3096,5815,3692,1725,3918,2458,2391,2831,1375
LOC6580398,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
LOC6580399,0,0,0,0,0,0,5,9,10,1,2,2,0,2,3
LOC6580400,2,0,0,0,0,5,15,20,12,2,8,7,0,1,0
LOC6580401,0,0,0,5,0,2,0,10,0,0,0,0,1,0,1
LOC6580402,13,1,23,608,1388,704,146,577,154,394,1154,645,215,278,157
LOC6580403,1553,1032,6970,1333,2563,1028,1558,3203,1993,945,2133,1475,1017,1415,703
LOC6580406,1722,2020,11668,2883,7804,3700,1737,4597,2508,609,1181,989,1202,1485,665
LOC6580407,727,639,3755,302,792,389,1173,2561,1289,570,1294,1028,1022,1587,805
LOC6580409,376,270,1849,879,2314,739,1122,2812,1676,397,1029,734,1161,1758,967
LOC6580411,17962,13188,85269,18620,39185,14575,19475,45183,25765,8885,21305,16103,14067,19356,11482
LOC6580413,3,0,0,9,47,4,9,50,20,1,1,0,8,2,5
LOC6580414,4,5,12,5,0,2,0,9,0,0,0,0,0,0,0
LOC6580415,240,116,852,448,775,353,324,492,424,585,959,780,1045,750,524
LOC6580416,505,427,3086,326,517,228,374,650,416,645,1146,1081,962,1618,759
LOC6580417,518,611,3133,434,1159,476,241,878,386,449,1376,1015,929,1379,855
LOC6580418,268,265,1526,356,705,312,339,715,447,279,592,452,349,425,225
LOC6580419,96,135,766,177,327,138,142,303,161,150,359,251,57,68,53
LOC6580420,0,0,5,0,5,0,0,0,5,2,8,0,0,3,6
LOC6580421,418,340,2525,547,1704,544,407,1222,731,303,1004,586,403,519,355
LOC6580423,359,255,1901,609,1192,474,479,1187,620,351,938,493,363,406,250
LOC6580424,7,15,102,23,30,21,39,67,53,18,31,18,9,24,9
LOC6580425,0,0,0,0,0,0,5,34,3,0,0,0,0,0,0
LOC6580427,147,139,776,137,409,124,122,289,157,76,254,136,65,103,56
LOC6580428,1241,835,5009,1597,3167,1019,1167,1948,1127,983,1983,1397,867,1134,626
LOC6580429,144,140,1033,219,458,157,138,323,178,133,372,234,149,187,130
LOC6580430,2341,1719,11096,2889,5763,1843,1896,3478,2032,1422,3777,2356,1662,2615,1405
LOC6580431,659,421,2387,903,1552,629,571,1220,722,529,1301,891,547,678,316
LOC6580432,289,313,2034,310,968,314,360,925,442,275,997,611,154,390,188
LOC6580433,667,517,3318,891,1771,571,673,1677,1003,448,1126,871,655,924,517
LOC6580434,11458,12720,63466,10634,25979,13122,10504,27131,18149,6639,19255,10744,6720,8854,4221
LOC6580438,346,271,1652,472,871,382,427,858,517,290,666,335,323,383,222
LOC6580440,863,600,3994,1044,2513,827,826,1969,1159,756,2199,1268,428,690,374
LOC6580441,475,445,2255,799,1670,529,541,1100,684,458,1212,752,373,641,337
LOC6580442,40,49,241,104,304,127,80,187,135,199,620,355,102,219,112
LOC6580443,519,469,2644,536,1465,460,472,1338,773,404,1152,668,276,487,248
LOC6580444,139,80,549,133,334,141,175,245,182,169,513,247,150,196,108
LOC6580445,135,115,684,1934,4124,1271,352,839,514,334,735,509,758,881,439
LOC6580446,1001,840,4830,1700,3678,1339,521,1166,592,813,2133,1366,426,601,349
LOC6580448,1228,1175,7166,1636,3017,1108,1236,2576,1448,1149,2956,1775,987,1192,782
LOC6580449,521,411,2296,507,1471,490,274,676,379,373,807,638,409,478,277
LOC6580450,657,415,2560,826,1466,587,477,828,515,417,918,605,502,641,383
LOC6580451,312,228,1483,578,873,299,274,612,314,317,778,456,237,257,131
LOC6580452,580,439,2595,551,1010,316,371,853,591,314,1025,539,268,511,243
LOC6580453,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0
LOC6580454,312,244,1031,272,667,166,267,510,271,164,458,284,200,247,120
LOC6580456,227,211,988,651,1169,431,431,949,476,528,1043,768,466,504,313
LOC6580457,0,0,5,0,4,2,0,1,0,0,0,1,0,0,0
LOC6580458,135,112,553,64,39,101,119,166,132,151,306,164,27,83,54
LOC6580459,0,0,0,4,0,3,0,3,0,0,4,0,0,0,0
LOC6580461,84,53,438,96,249,96,52,188,127,39,160,73,140,202,95
LOC6580462,339,255,1881,565,1221,407,443,775,504,346,846,468,311,364,244
LOC6580463,93,59,456,172,410,138,141,286,170,89,307,183,75,109,82
LOC6580464,1000,658,4354,1083,2172,698,733,1701,993,707,1603,1052,763,828,522
LOC6580465,143,149,1053,138,455,122,149,377,273,171,415,260,176,206,118
LOC6580466,10,8,68,6,44,20,11,8,9,2,11,9,0,5,0
LOC6580467,3327,2504,16386,3960,8994,2883,2297,5428,2913,3873,9420,6702,3651,5213,3228
LOC6580469,1506,1313,7242,1573,3580,1261,1659,3640,2240,1571,4356,2487,427,554,309
LOC6580470,10,5,14,14,27,9,10,24,9,1,2,12,11,7,4
LOC6580472,1859,1596,10365,1533,3600,1235,1212,3053,2030,1914,4761,3282,751,1302,649
LOC6580474,3148,2807,17947,3907,9574,3391,2809,7895,4433,2206,5665,4358,2484,3449,2135
LOC6580475,1567,1001,6523,2089,4163,1474,1806,3293,1854,1292,2945,1748,1556,1957,1120
LOC6580477,1816,1391,8347,1717,4686,1853,2120,4757,2816,1753,5455,2902,1101,1761,1068
LOC6580478,3,16,57,13,21,10,28,179,43,9,28,11,6,14,20
LOC6580479,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580480,0,0,12,2,0,0,1,0,3,0,4,0,3,0,0
LOC6580481,6,1,3,8,24,0,2,17,11,7,4,0,5,10,3
LOC6580482,359,332,2012,233,552,218,410,815,537,286,946,495,130,202,83
LOC6580483,0,1,1,0,0,0,3,0,0,0,1,0,2,2,0
LOC6580485,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580488,6,2,43,11,56,5,10,69,5,2,33,5,0,0,0
LOC6580489,0,3,0,0,1,0,4,45,3,1,0,0,2,7,1
LOC6580490,323,259,1396,431,986,313,433,735,363,320,676,404,244,319,150
LOC6580491,166,91,795,268,316,119,160,175,146,130,261,192,119,203,124
LOC6580492,404,335,2391,897,1550,483,434,879,556,351,911,542,523,600,327
LOC6580493,543,324,1799,373,832,278,262,548,336,319,610,416,265,325,169
LOC6580494,413,300,1953,480,968,374,272,530,260,533,1010,716,484,643,351
LOC6580495,37,25,209,25,86,27,13,12,9,63,179,96,25,21,16
LOC6580496,182,193,1184,319,706,228,206,430,226,183,526,246,86,110,80
LOC6580497,896,645,4670,2076,3099,1227,1437,2776,1314,938,1716,1194,880,1096,580
LOC6580500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580501,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LOC6580502,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
LOC6580506,0,3,0,3,20,0,0,0,4,2,1,4,1,0,0
LOC6580509,0,0,0,3,5,1,1,0,12,0,0,1,23,24,35
LOC6580510,0,0,0,0,0,0,4,9,6,0,0,0,0,1,0
LOC6580511,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0
LOC6580517,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0
LOC6580519,1,2,15,14,12,2,0,0,0,5,17,14,6,0,0
LOC6580520,463,487,2957,1200,2339,670,636,1311,690,520,1218,907,1037,1779,980
LOC6580521,117,93,557,2,4,9,4,2,0,17,24,27,2,13,1
LOC6580524,10,12,37,81,127,16,30,59,23,0,2,0,0,0,4
LOC6580530,538,339,2606,737,359,151,11,31,10,2,2,0,4,2,1
LOC6580531,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
LOC6580532,0,0,0,0,0,3,1,5,5,1,0,0,0,0,1
LOC6580533,511,422,2745,1065,2518,1030,626,1344,726,493,1468,942,540,776,390
LOC6580534,384,343,1825,574,1394,505,226,572,438,280,786,450,269,307,221
LOC6580535,5,5,27,13,24,11,4,12,8,5,5,4,4,5,3
LOC6580536,10918,8057,46084,17325,31859,10425,4586,7805,4956,6710,13684,9635,4724,7043,3375
LOC6580537,211,199,1516,269,627,208,126,306,221,287,720,470,207,337,196
LOC6580538,2035,1713,9938,1846,4451,1614,1080,2675,1650,1536,4339,2721,1385,2168,1108
LOC6580539,268,262,1718,336,901,358,254,789,468,255,720,413,224,385,222
