,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC116804060,0,0,0,15,0,0,13,12,7,2,0,1,6,3,1
LOC116804061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804064,1,1,11,13,6,11,6,0,7,0,0,0,7,10,0
LOC116804068,185,197,1111,174,488,177,106,391,179,142,355,219,27,58,29
LOC116804070,11,5,23,8,5,1,1,2,0,5,5,7,0,0,1
LOC116804073,23,20,150,8,31,38,11,14,22,9,13,3,6,14,18
LOC116804074,224,220,1456,378,744,338,160,364,208,145,474,284,226,299,126
LOC116804076,137,123,976,585,1473,544,90,217,137,140,660,300,115,128,74
LOC116804078,14,3,68,0,0,9,0,0,3,0,4,0,4,11,0
LOC116804080,1,0,19,0,0,0,1,4,0,0,5,0,0,0,0
LOC116804082,1983,1951,14938,2837,10327,3572,4210,14016,9308,610,1610,1580,4266,7913,3944
LOC116804085,645,314,1831,1664,1936,717,1195,1443,1026,309,520,429,1466,1899,1039
LOC116804087,2,0,0,0,14,0,0,0,4,0,0,0,0,0,0
LOC116804088,0,2,0,1,18,7,4,28,3,0,0,2,0,5,2
LOC116804089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804090,11,5,29,33,77,26,2,1,3,9,22,3,1,2,5
LOC116804092,2,0,0,0,9,0,14,25,25,0,0,2,26,19,11
LOC116804093,15,26,56,16,24,2,1,30,6,7,13,9,23,13,8
LOC116804094,14,2,17,8,33,13,6,9,9,5,4,8,11,15,9
LOC116804095,452,426,2581,0,0,1,14,35,8,0,0,1,5,3,2
LOC116804096,0,1,0,0,0,0,0,2,0,0,3,0,0,4,0
LOC116804097,213,240,683,43,127,34,116,282,123,97,290,150,7,41,14
LOC116804098,5720,5345,45134,4965,26179,9240,2966,12255,7224,2070,7086,9080,4456,14183,6286
LOC116804099,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0
LOC116804100,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
LOC116804102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804103,571,385,2670,1089,2136,872,601,1087,684,591,1457,1023,1316,1830,1084
LOC116804110,27,31,101,42,54,30,17,36,29,9,13,31,4,38,25
LOC116804114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804115,2,5,12,1,0,0,7,0,3,0,0,0,2,0,4
LOC116804116,4,5,5,16,1,0,2,11,3,4,5,0,0,0,2
LOC116804117,8,3,32,337,662,203,0,0,0,18,15,42,0,0,0
LOC116804118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
