,dbuz_larv_rep1,dbuz_larv_rep2,dbuz_larv_rep3,dkoep_larv_rep1,dkoep_larv_rep2,dkoep_larv_rep3
LOC122757896,67,97,59,488,756,332
LOC122757898,50,44,33,147,204,94
LOC122757913,7,3,10,24,57,19
LOC26527122,283,237,334,1705,2634,1221
LOC26527127,31,13,18,44,68,24
LOC26527129,2413,1796,2368,5075,7745,2973
LOC26527130,167,141,124,1485,1676,719
LOC26527134,930,634,888,653,935,352
LOC26527135,1,0,9,86,126,59
LOC26527141,39,44,40,32,52,17
LOC26527144,472,400,438,816,1242,605
LOC26527145,119,88,95,247,331,153
LOC26527151,486,331,488,313,425,230
LOC26527152,106,74,103,107,131,66
LOC26527153,668,563,763,1006,1785,776
LOC26527154,182,119,154,368,642,288
LOC26527155,5,5,6,12,16,11
LOC26527158,170,156,152,446,633,387
LOC26527159,46,38,49,78,108,56
LOC26527164,188,156,198,223,393,150
LOC26527166,378,281,329,99,152,68
LOC26527186,165,161,219,56,63,27
LOC26527188,0,0,0,162085,242277,69634
LOC26527200,17571,13341,16609,8365,14291,6654
LOC26527202,1051,768,961,341,564,217
LOC26527209,278,273,255,1284,1698,724
LOC26527210,1477,1421,1444,2678,4470,2104
LOC26527213,436,378,499,567,852,449
LOC26527215,459,245,406,647,738,313
LOC26527216,211,166,262,287,419,204
LOC26527220,259,215,304,172,233,117
LOC26527233,8,14,18,25,44,9
LOC26527240,155,125,155,73,87,26
LOC26527241,1077,798,1052,1963,2864,1346
LOC26527245,2257,1855,2116,2132,3288,1484
LOC26527248,862,579,773,538,718,317
LOC26527251,64,58,58,74,111,52
LOC26527255,165,129,160,187,287,162
LOC26527259,0,0,0,0,1,0
LOC26527264,0,0,0,24,21,19
LOC26527272,172,153,201,120,209,98
LOC26527273,187,138,223,599,803,387
LOC26527281,238,189,260,434,641,297
LOC26527291,10617,7988,10307,18915,32195,12391
LOC26527294,392,254,358,307,385,155
LOC26527295,1546,1316,1602,2876,4153,1588
LOC26527306,605,570,627,1593,2129,1262
LOC26527311,940,723,1020,1381,2193,940
LOC26527317,13,16,15,45,89,41
LOC26527318,32,38,46,158,175,131
LOC26527323,272,206,254,154,244,92
LOC26527326,1587,1013,1715,925,1221,454
LOC26527337,0,2,8,19,34,5
LOC26527342,66,60,78,12,33,11
LOC26527353,18,12,15,6,18,13
