,dbuz_larv_rep1,dbuz_larv_rep2,dbuz_larv_rep3,dkoep_larv_rep1,dkoep_larv_rep2,dkoep_larv_rep3
LOC6577851,134,101,112,212,301,119
LOC6577852,397,322,422,439,705,323
LOC6577853,1864,1618,1804,2582,4188,1927
LOC6577854,1367,1189,1239,2324,3942,1572
LOC6577855,555,414,506,944,1586,790
LOC6577856,561,497,695,497,810,366
LOC6577857,95,99,117,207,269,144
LOC6577858,451,386,455,90,155,64
LOC6577859,7907,6931,8010,10046,16273,7488
LOC6577868,1811,1472,1804,2329,3640,1682
LOC6577870,1458,1260,1226,2503,4160,1755
LOC6577872,1182,1071,1090,1368,2059,844
LOC6577873,1653,1466,1477,2872,4712,1982
LOC6577874,17,13,16,37,92,42
LOC6577875,2022,1578,1980,2263,3461,1595
LOC6577876,464,368,451,343,568,232
LOC6577877,4748,3824,4121,7369,10477,5119
LOC6577878,326,277,264,654,1003,556
LOC6577879,464,345,462,421,648,329
LOC6577880,346,282,307,476,842,299
LOC6577884,1218,1101,1007,2318,3648,1664
LOC6577885,1014,867,962,909,1526,699
LOC6577887,3585,2939,3499,9197,15560,6487
LOC6577888,356,318,305,1345,1882,996
LOC6577889,272,222,248,464,706,308
LOC6577890,34,39,32,152,243,104
LOC6577891,67,37,63,162,199,112
LOC6577892,1589,1331,1616,1203,1833,824
LOC6577893,951,891,794,1580,2333,1038
LOC6577894,4558,3362,4040,5501,9710,3719
LOC6577895,1563,1140,1608,1173,2427,751
LOC6577898,223,179,213,35,67,23
LOC6577899,1120,763,1103,403,467,116
LOC6577904,242,224,207,327,366,158
LOC6577905,167,123,159,47,85,24
LOC6577907,2,3,1,0,0,1
LOC6577910,122,115,156,57,87,45
LOC6577911,287,246,282,404,680,308
LOC6577913,307,258,255,516,746,343
LOC6577914,64,43,53,166,219,110
LOC6577919,243,177,231,163,225,105
LOC6577920,450,384,395,322,437,177
LOC6577922,1449,1235,1248,3797,5698,2627
LOC6577923,61,42,72,37,40,9
LOC6577925,362,310,419,528,803,327
LOC6577926,1016,774,863,1590,2499,1176
LOC6577927,348,262,364,668,1029,469
LOC6577929,2225,1884,1997,4509,6939,2765
LOC6577930,27,21,37,26,27,9
LOC6577931,515,387,494,661,1141,491
LOC6577933,160,170,186,731,822,321
LOC6577936,124,130,95,723,834,312
LOC6577937,2200,1591,2090,731,1211,417
LOC6577938,6,1,4,0,0,0
LOC6577939,196,137,191,335,591,228
LOC6577941,472,430,606,1230,1861,758
LOC6577942,323,237,290,437,711,302
LOC6577943,1568,1435,1428,1305,2219,910
LOC6577948,976,888,860,781,1018,513
LOC6577950,4734,3440,4554,2965,4265,1482
LOC6577952,143,121,120,113,160,70
LOC6577953,200,147,169,34,69,18
LOC6577954,548,442,462,1263,1845,767
LOC6577955,305,224,257,378,631,264
LOC6577956,1381,1153,1372,1443,2323,1000
LOC6577957,389,292,368,593,1073,458
LOC6577958,306,265,299,97,168,66
LOC6577959,1193,901,1031,1919,3169,1385
LOC6577960,3663,2752,3731,3698,5656,2156
LOC6577961,389,320,376,349,567,249
LOC6577962,262,184,325,418,635,261
LOC6577964,1122,999,1031,919,1513,710
LOC6577966,50947,36239,50180,37555,64486,28261
LOC6577968,1312,1035,1393,1927,3174,1464
LOC6577969,274,257,314,397,654,321
LOC6577970,1705,1496,1891,1419,2195,1027
LOC6577971,317,253,360,392,620,303
LOC6577972,304,232,292,288,434,179
LOC6577974,3600,2947,3734,2526,4140,1858
LOC6577976,360,281,368,552,754,318
LOC6577977,194,157,272,196,358,161
LOC6577978,579,443,637,878,1399,550
LOC6577979,455,337,415,1011,1496,737
LOC6577980,587,429,577,530,878,360
LOC6577981,167,136,178,277,441,185
LOC6577982,127,82,120,309,498,190
LOC6577983,392,317,429,759,1143,568
LOC6577984,2660,2010,2674,5558,8676,4034
LOC6577985,752,502,780,1358,1748,897
LOC6577986,2090,1616,2125,2811,4931,1902
LOC6577987,202,135,169,399,667,259
LOC6577988,1068,727,1085,1532,2518,981
LOC6577989,1093,911,1220,1869,2626,1501
LOC6577990,321,255,355,483,777,383
LOC6577991,281,248,333,437,699,346
LOC6577992,547,447,526,887,1309,605
LOC6577993,2247,1734,2207,4734,7570,3444
LOC6577994,199,150,218,286,471,209
LOC6577996,3837,3028,3942,4226,7205,3245
LOC6577997,1656,1224,1652,1479,2185,1085
LOC6577998,2,3,9,1,4,0
LOC6578001,88,77,80,83,131,55
LOC6578003,1395,1111,1496,2649,4074,1772
LOC6578004,389,299,378,573,873,348
LOC6578005,652,420,548,236,399,143
LOC6578006,4192,3183,3939,2474,3641,1776
LOC6578007,37,35,32,184,281,129
LOC6578008,39,46,39,250,250,118
LOC6578009,414,375,445,172,305,117
LOC6578010,256,211,243,601,818,352
LOC6578017,3718,2761,3654,2962,4578,1279
LOC6578020,675,588,561,1822,2102,849
LOC6578021,105,84,119,83,144,53
LOC6578024,0,0,0,4,20,4
LOC6578026,0,0,0,0,0,0
LOC6578027,0,0,0,11,24,6
LOC6578030,0,0,0,1,1,3
LOC6578033,1269,1102,1131,2447,3664,1502
LOC6578034,0,0,0,5,3,1
LOC6578035,8,3,15,0,0,0
LOC6578037,2709,2242,2732,1095,1916,714
LOC6578038,308,244,303,409,667,289
LOC6578039,267,228,219,340,573,204
LOC6578040,1485,1398,1349,2543,4221,1827
LOC6578042,411,293,401,704,1007,551
LOC6578043,396,329,362,607,945,435
LOC6578044,1151,960,1061,572,880,359
LOC6578045,0,1,1,1,0,0
LOC6578046,0,0,0,0,2,0
LOC6578048,248,177,181,399,537,269
LOC6578051,30,32,34,108,139,73
LOC6578052,150,90,139,165,286,136
LOC6578053,348,269,378,448,799,328
LOC6578054,742,583,835,771,1236,606
LOC6578055,494,454,467,1403,2274,976
LOC6578056,17,20,15,7,12,3
LOC6578057,50,39,56,21,15,8
LOC6578058,17589,14116,18507,3754,6124,2546
LOC6578059,14893,11930,16281,32496,58384,22812
LOC6578061,5,3,4,11,11,15
LOC6578063,2833,2269,2978,4721,7942,3278
LOC6578064,324,215,301,740,1293,445
LOC6578066,779,654,777,2553,3940,1849
LOC6578067,72,38,46,135,235,102
LOC6578072,4961,4504,4976,5743,9515,4024
LOC6578075,734,629,761,1098,1766,719
LOC6578076,9943,8192,10955,14678,23726,7833
LOC6578077,779,610,731,485,759,323
LOC6578079,158,107,148,59,118,39
LOC6578083,1,1,1,0,0,0
LOC6578084,0,0,0,0,1,2
LOC6578088,107,92,96,250,320,182
LOC6578091,647,523,758,794,1216,569
LOC6578093,238,178,274,131,235,102
LOC6578095,396,299,356,115,183,74
LOC6578097,0,0,0,0,0,0
LOC6578098,492,356,385,771,1375,602
LOC6578099,478,365,476,306,437,194
LOC6578100,23265,17706,22483,25398,35907,16127
LOC6578101,612,560,624,1188,2157,891
LOC6578102,1330,1143,1272,1557,2553,1161
LOC6578103,4535,3795,4243,6632,10589,4752
LOC6578104,2429,1821,2418,4770,7033,3714
LOC6578105,11,20,22,49,42,25
LOC6578106,324,228,328,228,351,135
LOC6578107,2704,2164,2781,4892,7499,3705
LOC6578108,171,174,179,117,192,81
LOC6578110,426,313,427,379,656,294
LOC6578111,698,548,697,480,759,342
LOC6578112,358,313,386,730,1296,505
LOC6578113,1437,1294,1307,2869,4352,1917
LOC6578114,674,540,593,834,1266,602
LOC6578115,675,598,627,1432,2287,869
LOC6578116,2085,1573,2092,4291,7064,3152
LOC6578118,723,545,733,1190,1928,827
LOC6578119,565,422,550,922,1432,647
LOC6578121,346,320,323,577,949,415
LOC6578122,3358,2558,3165,3881,6606,2740
LOC6578125,574,419,546,602,947,411
LOC6578126,806,627,780,2300,3754,1741
LOC6578127,1680,1519,1413,3161,5127,2371
LOC6578128,23527,18895,21918,34769,57601,25811
LOC6578129,579,453,552,563,1002,426
LOC6578130,3841,2902,3671,4059,6689,2897
LOC6578131,147,121,158,2905,4270,1905
LOC6578134,9595,6983,9449,6219,5923,2536
LOC6578140,616,465,574,512,778,328
LOC6578141,25,34,22,13,39,8
LOC6578142,3147,2538,2981,5925,9577,3954
LOC6578144,860,667,802,399,595,307
LOC6578148,1765,1502,1746,3122,4942,2395
LOC6578149,1383,1099,1484,2211,3417,1473
LOC6578150,2560,2066,2412,2780,4832,2042
LOC6578151,671,544,704,1111,1794,768
LOC6578152,160,110,189,289,552,212
LOC6578153,331,282,354,243,432,205
LOC6578154,429,321,438,97,156,79
LOC6578157,3278,2817,3390,6386,9873,4671
LOC6578158,960,695,880,739,1232,523
LOC6578159,1222,1000,1312,861,1299,622
LOC6578160,1563,1284,1620,3442,5286,2374
LOC6578162,556,434,497,827,1309,585
LOC6578165,2323,2006,2490,3858,6075,2824
LOC6578166,964,759,1000,954,1568,673
LOC6578167,257,226,306,1422,2018,956
LOC6578171,1742,1396,1991,3895,5830,2471
LOC6578174,8062,7081,8626,15927,23821,11362
LOC6578175,10340,7757,10975,12497,20377,8702
LOC6578176,634,450,703,1959,2927,1415
LOC6578177,402,329,459,950,1393,634
LOC6578182,1743,1334,1616,3625,6293,3072
LOC6578188,1432,996,1406,1883,2896,1405
LOC6578192,193,125,190,200,347,189
LOC6578199,3182,2557,3343,4334,6468,3277
LOC6578200,1056,833,1177,1917,2920,1236
LOC6578208,2894,2749,3298,7418,10799,5252
LOC6578221,885,774,967,1361,1968,976
LOC6578222,514,436,692,1299,2069,994
LOC6578227,1111,954,1221,1452,2196,1116
LOC6578229,6475,5218,7831,9757,15638,6079
LOC6578239,61,66,49,143,247,96
LOC6578240,349,360,395,942,1430,734
LOC6578241,451,303,487,174,268,118
LOC6578242,246,144,209,121,205,93
LOC6578245,1748,1273,1682,1580,2813,1000
LOC6578246,352,337,383,757,1266,559
LOC6578247,642,475,638,588,1009,426
LOC6578248,10,9,12,22,25,19
LOC6578249,1179,940,1048,2765,4557,1995
LOC6578250,537,459,616,490,802,370
LOC6578251,350,287,350,363,588,235
LOC6578252,686,548,659,1061,1783,795
LOC6578253,962,794,989,1182,1867,833
LOC6578254,14651,10715,14805,15452,25846,11316
LOC6578256,268,230,376,359,577,284
LOC6578257,587,530,642,904,1445,792
LOC6578258,223,150,210,383,538,283
LOC6578259,196,233,294,1398,1896,830
LOC6578260,2347,1992,2327,4405,7297,3645
LOC6578261,710,551,754,944,1457,672
LOC6578262,1477,1333,1316,3041,4766,2061
LOC6578263,2142,2009,2093,3989,5985,2799
LOC6578264,102,95,96,79,133,70
LOC6578265,923,687,821,746,1282,480
LOC6578266,453,418,397,688,852,305
LOC6578267,250,181,212,507,663,266
LOC6578268,4691,3677,4382,4536,7038,3501
LOC6578269,242,193,206,907,1203,468
LOC6578270,7559,6421,6660,5743,8896,3979
LOC6578271,7,6,13,8,17,4
LOC6578272,60,79,72,154,165,98
LOC6578273,17,8,25,2,14,2
LOC6578274,455,375,351,912,1457,710
LOC6578277,299,321,246,1092,1388,705
LOC6578279,183,142,197,282,480,204
LOC6578280,1003,721,925,1448,2320,1019
LOC6578281,288,223,281,397,714,283
LOC6578282,5621,3911,5606,6934,10883,4650
LOC6578284,127,91,145,145,274,131
LOC6578285,233,200,151,536,792,363
LOC6578286,307,288,322,358,588,208
LOC6578287,3924,3081,3815,6787,10521,4982
LOC6578288,416,383,392,616,970,417
LOC6578289,817,601,767,2850,5034,1967
LOC6578290,580,379,535,719,1106,495
LOC6578291,1122,845,960,1765,2809,1140
LOC6578293,562,434,499,789,1404,586
LOC6578294,2194,1757,2253,2124,3487,1441
LOC6578295,174,140,187,417,591,204
LOC6578296,694,528,671,1480,2457,1156
LOC6578297,409,366,418,859,1089,557
LOC6578298,19,10,33,11,18,8
LOC6578301,634,449,508,879,1450,544
LOC6578302,715,531,735,988,1424,551
LOC6578303,318,231,237,444,664,347
LOC6578304,3421,2571,3191,4307,6983,3088
LOC6578305,2532,1957,2499,4909,6996,2623
LOC6578306,413,305,417,487,723,281
LOC6578307,506,434,542,921,1498,640
LOC6578309,521,451,589,1387,1897,924
LOC6578310,1570,1314,1529,2862,4548,1985
LOC6578311,703,588,760,1171,1809,851
LOC6578312,4073,3477,3719,5661,9517,4068
LOC6578313,327,260,329,699,1043,481
LOC6578314,134,93,143,298,477,210
LOC6578315,735,617,733,761,1363,563
LOC6578316,1,0,1,0,1,0
LOC6578318,2,3,3,2,5,0
LOC6578319,883,860,811,2480,3430,1600
LOC6578320,276,151,224,300,462,229
LOC6578323,1471,1199,1449,1780,2543,1019
LOC6578324,12,6,16,28,35,13
LOC6578325,3336,2766,2839,6110,9637,4114
LOC6578326,1462,1186,1483,1902,2932,1356
LOC6578327,1490,1275,1410,2810,4210,1888
LOC6578328,1765,1516,1504,3931,6073,2113
LOC6578329,32,23,23,64,109,57
LOC6578330,22,20,17,70,131,59
LOC6578331,86,31,48,70,79,38
LOC6578332,512,393,442,199,326,157
LOC6578333,1986,1597,1965,2184,3734,1389
LOC6578334,324,247,280,448,736,387
LOC6578335,1907,1509,1742,3221,5320,2496
LOC6578336,12,13,16,26,32,7
LOC6578337,433,314,472,845,1169,547
LOC6578338,14,7,9,8,9,1
LOC6578339,0,1,3,78,125,36
LOC6578341,236,149,247,104,119,56
LOC6578342,187562,152604,165083,64418,112421,45851
LOC6578343,15,17,11,54,70,34
LOC6578346,217,201,178,655,768,357
LOC6578347,21,26,22,23,27,5
LOC6578348,101,106,113,240,360,152
LOC6578349,1598,1070,1952,10785,14312,7248
LOC6578353,758,632,679,1227,1874,871
LOC6578354,173,152,208,419,623,289
LOC6578359,0,0,0,1,0,0
LOC6578367,58,44,42,131,173,103
LOC6578371,3,2,10,1,2,2
LOC6578373,449,357,485,535,754,389
LOC6578374,4035,3327,3976,2784,4557,1941
LOC6578375,4486,3659,4316,5411,9207,4118
LOC6578376,5,4,7,8,8,4
LOC6578378,6,7,5,79,139,60
LOC6578379,2638,1906,2510,2763,4463,1871
LOC6578381,387,309,355,559,936,446
LOC6578382,120,90,109,167,289,147
LOC6578383,208,166,191,228,361,138
LOC6578384,876,617,849,709,1221,454
LOC6578385,1339,922,1293,2447,3488,1705
LOC6578386,546,525,518,1147,1941,796
LOC6578387,586,479,545,169,301,137
LOC6578388,329,271,319,606,886,378
LOC6578389,570,559,549,810,1256,613
LOC6578391,653,550,754,1037,1666,764
LOC6578392,593,482,566,755,1157,412
LOC6578394,1758,1380,1549,3791,4892,2288
LOC6578396,2618,2146,2486,3008,4647,2096
LOC6578400,1546,1376,1426,3100,4653,1841
LOC6578401,530,412,537,551,886,383
LOC6578402,736,744,715,1816,2779,1235
LOC6578404,258,216,239,339,575,207
LOC6578406,48811,36033,48348,37076,55425,19904
LOC6578407,109,113,132,240,436,183
LOC6578410,1050,884,1014,1381,2348,867
LOC6578411,2612,1962,2573,2519,4059,1561
LOC6578412,66,56,85,211,402,127
LOC6578413,0,0,2,0,2,0
LOC6578415,60,43,63,123,173,75
LOC6578416,4,11,2,30,53,30
LOC6578417,283,178,271,487,796,338
LOC6578418,1057,916,1207,1722,2853,1332
LOC6578419,248,176,269,536,838,495
LOC6578421,268,190,207,353,668,258
LOC6578422,2067,1726,1989,3699,6250,2643
LOC6578423,496,420,484,1014,1557,675
LOC6578424,244,203,326,455,677,327
LOC6578425,907,839,847,1819,2525,1201
LOC6578427,2739,2310,2662,8264,12368,5635
LOC6578431,407,403,358,972,1548,729
LOC6578432,136,111,153,452,737,289
LOC6578436,77,73,63,363,479,212
LOC6578437,398,293,373,846,1254,568
LOC6578439,2674,1881,2763,1350,2048,760
LOC6578441,2857,2242,2689,546,1003,475
LOC6578442,12101,11511,11266,17354,28894,12136
LOC6578444,432,316,406,496,752,394
LOC6578445,187,166,184,347,520,261
LOC6578446,496,370,461,636,1056,463
LOC6578447,127,104,119,98,176,60
LOC6578448,560,459,551,192,325,142
LOC6578449,845,639,771,429,791,323
LOC6578450,243,189,206,508,768,298
LOC6578451,19,11,8,46,47,26
LOC6578454,8,5,6,0,1,0
LOC6578455,5,7,12,23,41,4
LOC6578456,0,0,0,0,2,0
LOC6578458,3,0,2,0,2,1
LOC6578464,3,4,3,2,4,3
LOC6578471,751,543,728,833,1324,427
LOC6578472,4,3,3,137,288,121
LOC6578473,6,3,4,4,4,4
LOC6578474,3145,2280,3096,959,1644,597
LOC6578477,103,98,139,190,253,117
LOC6578478,545,430,564,994,1810,770
LOC6578479,1039,756,1082,992,1606,697
LOC6578480,1116,901,962,1864,2770,1279
LOC6578481,354,240,327,160,213,110
LOC6578482,667,487,603,586,903,401
LOC6578483,5,5,3,23,33,23
LOC6578484,203,181,237,59,122,34
LOC6578485,1214,915,1391,1364,1938,812
LOC6578488,1146,881,1110,1255,1903,836
LOC6578489,236,174,218,352,486,164
LOC6578490,1335,1054,1277,2367,3718,1581
LOC6578491,14,11,5,22,37,13
LOC6578492,430,399,402,1202,1814,811
LOC6578494,79,62,85,72,105,44
LOC6578495,348,251,313,214,334,107
LOC6578498,68,38,76,125,158,61
LOC6578499,936,781,861,1100,1885,772
LOC6578500,1433,1181,1318,1506,2421,895
LOC6578501,1010,831,981,843,1376,590
LOC6578502,437,325,396,671,1088,505
LOC6578503,243,201,254,364,613,276
LOC6578504,3805,3189,3617,5477,8342,4091
LOC6578505,887,715,921,1139,1765,710
LOC6578507,1125,860,1070,1128,2061,811
LOC6578508,568,410,545,472,653,291
LOC6578509,812,696,710,1026,1686,751
LOC6578510,20,10,14,31,55,17
LOC6578511,7,10,4,15,19,8
LOC6578513,761,606,866,923,1464,696
LOC6578514,2127,1529,2036,3748,5559,2519
LOC6578515,5744,4327,5454,11574,20322,8478
LOC6578517,351,292,325,601,948,386
LOC6578518,993,863,949,1730,2687,1358
LOC6578519,367,277,369,212,310,132
LOC6578520,71,53,91,96,189,64
LOC6578521,2355,1815,2340,1861,3061,1585
LOC6578522,1275,997,1238,156,269,100
LOC6578523,13,10,13,6,26,4
LOC6578525,292,282,278,835,1221,464
LOC6578526,1923,1536,1775,3437,5856,2197
LOC6578527,4062,3432,3453,4192,7039,3159
LOC6578528,566,407,526,607,987,336
LOC6578531,1770,1534,1627,2404,3757,1728
LOC6578532,486,501,455,1444,2292,948
LOC6578533,272,231,210,621,864,351
LOC6578534,3,12,8,8,22,7
LOC6578536,1093,805,1097,2245,3219,1506
LOC6578537,720,621,675,2117,3274,1355
LOC6578538,532,474,408,1104,1602,662
LOC6578539,167,115,193,236,365,161
LOC6578540,152,144,182,62,100,43
LOC6578541,1265,1083,1099,2997,4566,1788
LOC6578543,3518,2740,3073,6822,10892,4350
LOC6578544,54,59,51,168,265,113
LOC6578545,297,261,301,720,1185,522
LOC6578546,69,56,62,44,96,41
LOC6578548,816,593,794,377,531,250
LOC6578549,1709,1449,1720,2306,4019,1685
LOC6578550,1805,1481,1608,1978,3066,1434
LOC6578551,20999,15522,20593,7902,12131,3832
LOC6578554,1,1,7,2,4,5
LOC6578556,31,21,14,156,216,91
LOC6578557,141,100,147,178,296,107
LOC6578558,113,121,134,462,728,382
LOC6578560,578,497,513,865,1453,508
LOC6578561,1652,1292,1474,3632,5568,2405
LOC6578562,1677,1541,1557,4323,6762,3130
LOC6578563,9074,7989,8889,11176,18327,7403
LOC6578564,2428,1917,2461,5953,9529,4382
LOC6578565,1247,1250,1229,2186,3528,1589
LOC6578566,25,21,18,21,33,12
LOC6578567,15103,11065,14478,23809,40542,17343
LOC6578569,265798,216159,253465,266468,452232,172544
LOC6578571,1509,1251,1402,1418,2393,982
LOC6578572,518,443,481,611,1047,432
LOC6578573,1706,1348,1688,997,1479,758
LOC6578574,1082,949,928,1724,2679,1229
LOC6578575,2447,1751,2673,6122,9218,3977
LOC6578576,615,558,589,1012,1548,573
LOC6578578,459,384,444,1010,1602,763
LOC6578580,58,38,66,37,65,37
LOC6578581,746,607,916,838,1326,663
LOC6578582,231,178,218,478,691,292
LOC6578583,1839,1527,1714,3919,6226,2521
LOC6578585,341,276,340,822,1298,505
LOC6578586,952,765,849,1831,2777,1314
LOC6578587,1057,791,942,741,1172,438
LOC6578590,966,849,813,3327,4357,1695
LOC6578592,1115,768,1058,497,760,270
LOC6578593,208,184,236,419,648,278
LOC6578594,117,71,93,197,301,109
LOC6578597,370,283,396,1328,2094,931
LOC6578598,1942,1559,1910,3251,5478,2376
LOC6578599,663,481,597,1011,1555,760
LOC6578600,15419,14156,13720,50495,78058,34876
LOC6578601,574,420,600,707,1123,443
LOC6578602,521,382,543,314,412,203
LOC6578603,1341,1130,1268,1342,1931,838
LOC6578604,996,815,955,2181,3267,1626
LOC6578605,298,223,289,180,219,113
LOC6578607,451,417,539,1278,1841,827
LOC6578608,2845,2295,2656,2350,4067,1653
LOC6578610,4717,3259,4391,6813,7476,1933
LOC6578611,8437,5588,8452,18816,22381,6897
LOC6578612,286,252,267,773,1193,581
LOC6578613,44,41,38,200,248,122
LOC6578615,8251,5114,7117,47061,37528,12334
LOC6578618,10,7,6,5,3,4
LOC6578619,86,76,67,104,194,68
LOC6578620,582,520,645,304,489,180
LOC6578621,807,686,707,1475,2417,1006
LOC6578622,1362,1162,1182,3765,5646,2383
LOC6578623,6294,5348,6173,9728,16620,6832
LOC6578624,739,570,848,792,1256,434
LOC6578625,333,303,348,566,944,395
LOC6578627,215,155,226,402,596,296
LOC6578628,268,179,215,325,524,204
LOC6578629,181,137,176,103,199,79
LOC6578630,2982,2433,3101,946,1464,685
LOC6578631,5597,4623,5273,7065,10981,5342
LOC6578636,440,395,374,794,1347,553
LOC6578637,1928,1589,1684,1766,3067,1278
LOC6578638,938,742,985,1338,2219,1026
LOC6578639,443,369,437,521,953,459
LOC6578640,1962,1576,1935,1731,2847,1184
LOC6578641,21182,16419,21236,22942,38492,17526
LOC6578642,3453,2718,3540,7329,11366,5760
LOC6578643,217,155,198,178,263,115
LOC6578644,536,435,502,704,974,519
LOC6578645,2042,1445,2033,1890,2740,1404
LOC6578646,176,156,201,332,546,255
LOC6578647,22,13,18,60,100,54
LOC6578648,690,496,684,968,1658,612
LOC6578650,1920,1402,1822,2223,3651,1269
LOC6578651,562,445,589,559,984,424
LOC6578652,36059,27520,36452,92449,137791,51759
LOC6578653,3145,2194,2825,4355,6335,2541
LOC6578655,2048,1606,2331,1577,2678,1111
LOC6578656,380,286,320,705,1074,486
LOC6578657,130,94,140,329,467,276
LOC6578658,1320,1059,1337,758,1095,485
LOC6578659,1964,1550,1739,6177,9264,4429
LOC6578660,69,46,67,95,214,91
LOC6578661,30,56,34,149,193,85
LOC6578662,583,479,639,918,1363,591
LOC6578663,15672,11575,15456,35303,61778,26344
LOC6578664,367,316,359,282,422,205
LOC6578665,36545,28869,39319,28253,50859,18053
LOC6578666,481,376,440,964,1605,730
LOC6578667,373,281,341,537,849,349
LOC6578668,380,320,440,863,1246,590
LOC6578669,489,406,480,763,1247,558
LOC6578670,83,69,87,232,305,152
LOC6578671,658,558,616,246,442,171
LOC6578672,1105,927,1030,1297,2132,941
LOC6578673,491,327,527,253,369,182
LOC6578674,681,451,587,465,759,299
LOC6578675,629,587,543,1334,2051,970
LOC6578676,212,161,202,125,205,101
LOC6578677,263,184,286,117,157,81
LOC6578678,220,169,198,146,179,87
LOC6578679,16446,12024,15837,31783,55023,19791
LOC6578680,7,13,19,20,22,17
LOC6578681,358,235,307,344,601,282
LOC6578682,476,527,457,615,918,408
LOC6578683,336,284,342,414,641,255
LOC6578684,758,585,735,1948,2932,1316
LOC6578685,1764,1352,1725,2356,4128,1582
LOC6578686,89,82,71,275,407,212
LOC6578687,1000,835,891,2076,3044,1459
LOC6578690,2,2,0,3,3,2
LOC6578691,16,27,10,94,135,71
LOC6578692,15627,12394,15058,16884,29206,11892
LOC6578693,412,267,427,837,1464,654
LOC6578694,1580,1205,1599,2680,4037,1773
LOC6578696,9,2,8,17,24,6
LOC6578697,951,853,775,1892,2786,1159
LOC6578698,168,147,218,596,900,311
LOC6578699,152,102,173,266,458,183
LOC6578700,428,342,467,348,629,274
LOC6578701,1179,876,1114,890,1514,711
LOC6578702,1332,984,1293,908,1462,596
LOC6578703,1976,1660,1815,2685,4440,1969
LOC6578704,605,576,544,892,1539,701
LOC6578706,48756,39923,58047,19692,31649,10369
LOC6578707,457,416,453,937,1409,693
LOC6578708,120,119,151,137,275,97
LOC6578709,490,378,523,825,1258,607
LOC6578710,1645,1260,1638,4019,6163,3173
LOC6578711,1898,1564,1855,3557,5107,2524
LOC6578712,66,46,66,144,260,121
LOC6578713,100,67,97,118,207,93
LOC6578717,19,11,18,26,34,4
LOC6578718,0,0,0,0,0,0
LOC6578720,177,132,138,568,801,314
LOC6578723,648,499,612,397,620,322
LOC6578724,1312,1022,1430,2318,3702,1441
LOC6578725,213,167,197,372,598,296
LOC6578726,548,483,487,1005,1508,693
LOC6578727,0,1,1,14,19,1
LOC6578728,26,18,15,14,32,6
LOC6578730,64,60,52,53,70,31
LOC6578731,508,446,403,768,1095,464
LOC6578732,388,287,307,682,1060,410
LOC6578733,391,401,374,754,1181,491
LOC6578734,3,0,0,37,116,28
LOC6578735,320,258,354,1138,1866,1002
LOC6578736,1079,798,1175,755,1244,516
LOC6578737,1,4,5,3,1,1
LOC6578741,225,229,195,793,1031,418
LOC6578744,41,31,43,64,113,49
LOC6578746,514,338,488,163,259,110
LOC6578748,1355,1071,1260,884,1518,575
LOC6578749,610,499,672,360,517,232
LOC6578750,1123,927,1074,769,1287,471
LOC6578751,4605,3480,4641,6716,11791,4456
LOC6578754,3488,2596,3686,797,1264,525
LOC6578756,377,285,279,814,1265,431
LOC6578760,73,71,77,75,159,46
LOC6578761,425,301,415,94,124,73
LOC6578764,12,5,22,9,5,4
LOC6578765,3325,2844,3921,1601,2563,982
LOC6578767,1134,904,1120,1302,2128,853
LOC6578768,1104,902,1263,945,1471,528
LOC6578769,357,305,358,344,512,257
LOC6578770,18,10,19,22,52,19
LOC6578772,601,453,552,2075,3470,1532
LOC6578773,464,420,540,394,686,260
LOC6578774,3752,2925,4099,3382,5923,2073
LOC6578775,52,54,74,122,149,80
LOC6578776,215,151,217,239,395,146
LOC6578777,82,86,111,68,99,43
LOC6578778,467,368,511,332,454,275
LOC6578779,1078,816,1142,1840,2987,1345
LOC6578780,12906,10486,13395,17323,30544,10641
LOC6578781,2869,2259,3097,2147,3699,1491
LOC6578783,4577,3772,4642,2627,4881,1780
LOC6578784,1372,1121,1321,1095,1845,751
LOC6578785,709,664,806,1366,2068,1014
LOC6578786,434,360,463,758,1093,547
LOC6578787,265,208,225,171,225,85
LOC6578788,799,653,702,1346,2299,892
LOC6578789,1242,1070,1235,2284,3504,1539
LOC6578791,1101,911,1122,2519,3771,1640
LOC6578793,422,322,409,512,797,309
LOC6578794,1416,1125,1400,1986,3168,1396
LOC6578795,861,830,827,1194,1778,854
LOC6578796,19268,15009,18262,34591,59924,25313
LOC6578797,2734,2100,2589,3003,5070,2120
LOC6578798,462,367,479,624,1018,429
LOC6578799,226,177,237,342,520,213
LOC6578800,1130,1040,1100,3100,4644,2092
LOC6578801,919,713,927,753,1197,580
LOC6578802,410,320,433,475,783,339
LOC6578803,951,760,1012,2537,4234,1661
LOC6578808,461,321,499,462,768,337
LOC6578809,438,310,414,325,597,252
LOC6578810,2169,1993,2246,3491,5955,2525
LOC6578811,366,244,368,492,779,376
LOC6578812,577,394,553,861,1340,642
LOC6578815,25290,18374,24916,34178,50197,19899
LOC6578820,845,678,803,1199,1822,674
LOC6578822,108,77,82,188,285,118
LOC6578823,5414,3946,5115,1002,1469,491
LOC6578824,142,99,134,39,48,17
LOC6578829,306,273,330,47,81,41
LOC6578831,9,11,11,60,99,28
LOC6578833,350,231,312,6079,10368,4539
LOC6578834,1699,1388,1587,2482,3748,1822
LOC6578836,2000,1709,2006,3058,4285,2110
LOC6578837,1352,1023,1461,1414,2228,687
LOC6578838,824,785,683,2085,2980,1447
